cols,importance,model_name
order_weekday,0.36924086829964775,tree
order_weekend,0.34601344459759004,tree
delta_avg,0.02742982439391226,tree
order_cancel,0.026031173629847196,tree
order_time_16,0.024161444960000333,tree
order_time_12,0.02325590247151224,tree
order_delivery,0.020037381418319733,tree
order_time_21,0.018936227372116157,tree
order_time_14,0.017932265560273396,tree
order_time_15,0.017163272378446896,tree
order_time_19,0.01651450324851705,tree
order_time_11,0.015296672072902315,tree
order,0.015060033686623396,tree
order_fin,0.014922401687789973,tree
order_time_17,0.010867259363193773,tree
order_takeout,0.009680923869953499,tree
order_time_20,0.007815134462076991,tree
order_time_13,0.004721052119882089,tree
store_逗子店,0.0025175101975096607,tree
store_北千住店,0.0023496761843423497,tree
store_泉店,0.0020140081580077287,tree
store_西葛西店,0.0020140081580077287,tree
store_神田店,0.001977389827862133,tree
store_国立店,0.001315547416341743,tree
store_保土ケ谷店,0.0012307827632269468,tree
store_恵比寿店,0.0008615479342588589,tree
store_駒込店,0.0006397437678377467,tree
store_瀬谷店,0.0,tree
store_海老名店,0.0,tree
store_清瀬店,0.0,tree
store_渋谷店,0.0,tree
store_港北店,0.0,tree
store_港南店,0.0,tree
store_相模原店,0.0,tree
store_熊谷店,0.0,tree
store_狛江店,0.0,tree
store_狭山店,0.0,tree
store_王子店,0.0,tree
store_町田店,0.0,tree
store_白井店,0.0,tree
store_目黒店,0.0,tree
store_石神井店,0.0,tree
store_磯子店,0.0,tree
store_神奈川店,0.0,tree
store_浦安店,0.0,tree
store_水戸店,0.0,tree
store_浦和店,0.0,tree
store_横浜南店,0.0,tree
store_東尾久店,0.0,tree
store_東村山店,0.0,tree
store_東松山店,0.0,tree
store_松戸店,0.0,tree
store_板橋店,0.0,tree
store_柏店,0.0,tree
store_栃木店,0.0,tree
store_栄店,0.0,tree
store_桐生店,0.0,tree
store_横浜緑店,0.0,tree
store_浅草店,0.0,tree
store_横須賀店,0.0,tree
store_武蔵村山店,0.0,tree
store_武蔵野店,0.0,tree
store_秦野店,0.0,tree
store_江戸川店,0.0,tree
store_江東店,0.0,tree
store_池尻店,0.0,tree
store_池袋店,0.0,tree
store_流山店,0.0,tree
store_福生店,0.0,tree
store_茂原店,0.0,tree
store_稲城店,0.0,tree
store_青梅店,0.0,tree
store_足利店,0.0,tree
store_足柄上店,0.0,tree
store_足立店,0.0,tree
store_那珂店,0.0,tree
store_都筑店,0.0,tree
store_金沢店,0.0,tree
store_銀座店,0.0,tree
store_鎌倉店,0.0,tree
store_青山店,0.0,tree
store_青葉店,0.0,tree
store_赤羽店,0.0,tree
store_館林店,0.0,tree
store_駒沢店,0.0,tree
store_高円寺店,0.0,tree
store_高島平店,0.0,tree
store_高崎店,0.0,tree
store_高座店,0.0,tree
store_高津店,0.0,tree
store_高田馬場店,0.0,tree
store_鴻巣店,0.0,tree
store_越谷店,0.0,tree
store_赤坂店,0.0,tree
store_立川店,0.0,tree
store_茅ヶ崎店,0.0,tree
store_綾瀬店,0.0,tree
store_練馬店,0.0,tree
store_羽村店,0.0,tree
store_羽生店,0.0,tree
store_習志野店,0.0,tree
store_自由が丘店,0.0,tree
store_船橋店,0.0,tree
store_若葉店,0.0,tree
store_東久留米店,0.0,tree
store_草加店,0.0,tree
store_谷中店,0.0,tree
store_荒川店,0.0,tree
store_荻窪店,0.0,tree
store_葛飾店,0.0,tree
store_蒲田店,0.0,tree
store_藤沢店,0.0,tree
store_行田店,0.0,tree
store_西多摩店,0.0,tree
store_西東京店,0.0,tree
store_調布店,0.0,tree
store_東大和店,0.0,tree
store_日本橋店,0.0,tree
store_東中野店,0.0,tree
store_厚木店,0.0,tree
store_八千代店,0.0,tree
store_八潮店,0.0,tree
store_八王子店,0.0,tree
store_六本木店,0.0,tree
store_前橋店,0.0,tree
store_千葉中央店,0.0,tree
store_千葉緑店,0.0,tree
store_南砂店,0.0,tree
store_南足柄店,0.0,tree
store_取手店,0.0,tree
store_佐野店,0.0,tree
store_向島店,0.0,tree
store_君津店,0.0,tree
store_和光店,0.0,tree
store_品川店,0.0,tree
store_四街道店,0.0,tree
store_国分寺店,0.0,tree
store_坂戸店,0.0,tree
store_墨田店,0.0,tree
store_多摩店,0.0,tree
store_入間店,0.0,tree
store_佐倉店,0.0,tree
store_大井店,0.0,tree
store_上野店,0.0,tree
order_time_18,0.0,tree
store_あきる野店,0.0,tree
store_さいたま南店,0.0,tree
store_さいたま緑店,0.0,tree
store_さいたま西店,0.0,tree
