yyyymm,sales
2014-01,1717
2014-02,2490
2014-03,5040
2014-04,1373
2014-05,2233
2014-06,3764
2014-07,2016
2014-08,1836
2014-09,3790
2014-10,1395
2014-11,1718
2014-12,2712
2015-01,1790
2015-02,2750
2015-03,6187
2015-04,1758
2015-05,2450
2015-06,4258
2015-07,2106
2015-08,1934
2015-09,3849
2015-10,1833
2015-11,2054
2015-12,3444
2016-01,2449
2016-02,3890
2016-03,6658
2016-04,2509
2016-05,3293
2016-06,5241
2016-07,3010
2016-08,2840
2016-09,4986
2016-10,2499
2016-11,3211
2016-12,3793
2017-01,2670
2017-02,4437
2017-03,7189
2017-04,2938
2017-05,3767
2017-06,5865
2017-07,3370
2017-08,3527
2017-09,5321
2017-10,3082
2017-11,3672
2017-12,4346
2018-01,3389
2018-02,4805
2018-03,7409
2018-04,3094
2018-05,3760
2018-06,5442
