plan,date,day_of_the_week,x1,x2,x3,x4,holiday
planA,2016/10/25,Tue,20.6,3.8,0,0,0
planA,2016/10/26,Wed,21,3.7,0,0,0
planA,2016/10/27,Thu,20.4,0.5,0,0,0
planA,2016/10/28,Fri,18.5,0,0,0,0
planA,2016/10/29,Sat,17.1,0,0.2,75000,1
planA,2016/10/30,Sun,16.7,0,0.2,75000,1
planA,2016/10/31,Mon,17.3,9.3,0,0,0
planB,2016/10/25,Tue,20.6,3.8,0,0,0
planB,2016/10/26,Wed,21,3.7,0,0,0
planB,2016/10/27,Thu,20.4,0.5,0,0,0
planB,2016/10/28,Fri,18.5,0,0,0,0
planB,2016/10/29,Sat,17.1,0,0,75000,1
planB,2016/10/30,Sun,16.7,0,0,75000,1
planB,2016/10/31,Mon,17.3,9.3,0,0,0
planC,2016/10/25,Tue,20.6,3.8,0,0,0
planC,2016/10/26,Wed,21,3.7,0,0,0
planC,2016/10/27,Thu,20.4,0.5,0,0,0
planC,2016/10/28,Fri,18.5,0,0,0,0
planC,2016/10/29,Sat,17.1,0,0.2,0,1
planC,2016/10/30,Sun,16.7,0,0.2,0,1
planC,2016/10/31,Mon,17.3,9.3,0,0,0
planD,2016/10/25,Tue,20.6,3.8,0,0,0
planD,2016/10/26,Wed,21,3.7,0,0,0
planD,2016/10/27,Thu,20.4,0.5,0,0,0
planD,2016/10/28,Fri,18.5,0,0,0,0
planD,2016/10/29,Sat,17.1,0,0,0,1
planD,2016/10/30,Sun,16.7,0,0,0,1
planD,2016/10/31,Mon,17.3,9.3,0,0,0
