cd,churn,Order_Quantity,Diff_Order_Quantity,Sales_Visit,Diff_Sales_Visit
599178001,0,69818,94,42,-5
754552002,0,242000,51,14,4
308245003,0,9000,-80,26,-2
384496004,0,268500,-53,19,4
575567005,0,52909,95,51,-3
807866006,0,137500,16,16,0
676990007,0,55500,14,25,4
258126008,0,34364,64,24,4
599689009,0,24000,-24,30,5
112398010,0,35400,-44,49,3
176464011,0,272000,20,36,1
690521012,0,41000,41,21,3
633033013,0,43000,-1,23,4
600729014,0,162545,-29,42,0
218597015,0,19000,-12,15,5
180597016,0,33000,-55,77,-5
292816017,0,322000,-10,34,-5
724928018,0,50000,26,17,2
258169019,0,27500,70,15,-5
568203020,0,33333,-46,25,-5
888912021,0,85636,-79,14,-3
765209022,0,14250,-75,32,1
178650023,0,106500,0,55,2
799878024,0,128000,48,26,-5
620307025,0,59000,-23,42,-5
384389026,0,35000,1,47,4
828786027,0,313500,-38,47,-2
484860028,0,207500,1,38,-5
762613029,0,53400,-46,67,0
631882030,0,17250,-22,16,-1
782127031,0,74000,29,62,1
364194032,0,50727,-23,17,1
717287033,0,49000,-95,26,4
748463034,0,35250,34,36,-3
849513035,0,108000,-12,16,4
487262036,0,237500,-75,23,-2
805990037,0,59400,-100,20,2
164466038,0,643500,75,16,-3
638737039,0,28500,42,39,-3
675297040,0,93429,-60,18,4
259329041,0,168545,-63,34,-3
640075042,0,314000,-73,128,4
255855043,0,34200,-66,14,-4
214148044,0,18857,-45,25,-5
588295045,0,63818,-91,52,-2
256514046,0,93333,-36,15,-2
742952047,0,96000,50,19,0
607341048,0,36600,-48,62,1
227777049,0,91500,46,75,2
732258050,0,231000,88,55,-4
637725051,0,18000,28,55,1
141715052,0,184500,40,26,2
140692053,0,127500,-69,50,0
442445054,0,12000,-67,16,5
486820055,0,54500,-78,64,-4
493562056,0,123500,77,20,5
417871057,0,74000,17,106,-3
677333058,0,32727,-45,14,4
273012059,0,351818,-14,47,1
203078060,0,122000,-20,36,-4
458671061,0,32667,28,34,-3
284721062,0,197000,68,15,3
893347063,0,77500,10,34,-1
643054064,0,99500,-61,19,-3
471426065,0,42000,-46,13,-2
709922066,0,40909,-39,30,2
705006067,0,205200,-35,25,-2
183075068,0,83000,-57,24,5
708568069,0,78000,34,14,2
789449070,0,159500,65,32,0
689660071,0,410000,87,30,4
896578072,0,249000,-82,14,3
800151073,0,36667,95,16,-3
134664074,0,25500,25,44,-1
682673075,0,36000,49,21,-4
323123076,0,161400,-50,14,1
386765077,0,243000,96,17,3
112971078,0,73000,97,40,-3
315166079,0,387000,81,33,1
571806080,0,52500,-51,40,-2
771872081,0,118500,62,46,3
448203082,0,229000,-1,49,-1
419571083,0,141000,-32,15,0
472642084,0,59000,35,50,-1
197086085,0,34364,-23,30,0
215940086,0,53400,-89,13,-2
145617087,0,127500,-74,22,-3
595031088,0,126545,-26,15,1
429956089,0,35400,67,24,1
709548090,0,27000,9,17,-4
783704091,0,165273,87,38,-1
445357092,0,17250,-96,18,-1
773674093,0,47250,-56,15,4
548932094,0,58000,-9,20,5
756654095,0,247000,85,78,0
218351096,0,321000,-56,27,1
266735097,0,67500,39,28,1
801234098,0,8400,-13,18,-1
121728099,0,217500,-42,15,0
706260100,0,110000,-34,23,-5
865103101,0,475500,-38,14,1
214784102,0,62000,-39,19,1
445746103,0,30000,59,21,4
385395104,0,159500,-86,57,4
393076105,0,27273,-75,18,5
243107106,0,37800,-85,14,4
683983107,0,30000,-14,21,-5
517179108,0,129500,46,14,1
760129109,0,39500,28,20,0
393201110,0,222500,87,26,1
171071111,0,143000,95,16,-2
874856112,0,52500,75,15,-3
