id,fiber_optic_internet,care_services,contract_2_years,family_discount,online_application,tenure,churn
3575658945,0,0,0,0,1,7,1
1612527640,0,0,0,0,1,5,1
3030576346,0,0,0,0,1,12,0
7597140346,0,0,0,1,1,8,1
5846338138,1,0,1,0,1,58,0
7946040136,1,1,1,0,0,32,0
5903130640,0,0,1,0,1,18,1
2129388731,0,0,0,0,1,7,0
4675530834,0,0,1,0,1,49,0
4538539322,1,1,1,1,0,31,1
7910681853,0,0,0,1,1,8,0
8727576136,0,0,1,1,0,71,0
5482237349,1,0,1,0,0,47,1
4848186549,1,1,1,1,0,72,0
3649504245,0,0,0,0,1,1,1
8570519060,0,1,1,1,0,72,0
6500394460,0,1,1,0,0,49,1
3467162350,0,0,0,0,1,11,0
7311062145,0,1,1,0,0,62,1
1395536028,0,0,0,0,1,3,1
2783325362,0,0,1,0,0,22,0
1190394339,1,0,1,0,0,18,0
7668484555,1,1,1,1,0,69,0
6040554451,1,1,1,0,0,22,0
3952038540,0,1,1,1,0,48,0
6810373846,0,0,0,0,1,4,1
3359336741,0,1,1,1,0,57,0
1571568665,1,0,1,0,0,33,0
6839546926,1,1,1,1,0,72,0
8468596951,1,1,1,1,0,57,1
6393152659,0,0,0,0,1,2,1
3552077524,0,0,0,0,1,3,0
5229370325,0,0,0,1,1,11,0
3829198653,0,0,1,0,1,16,1
3637105843,1,1,1,0,0,26,0
1284690043,0,1,1,1,0,70,0
3709608556,1,1,1,1,0,71,0
5997020336,0,1,1,1,0,71,0
5186250236,1,1,1,1,0,72,1
6678489035,1,0,1,0,0,15,0
4591390022,0,0,0,0,1,1,1
4275610338,0,0,1,0,0,40,0
1971056245,0,0,0,0,1,7,0
4488215234,0,0,0,0,1,2,1
3945433640,1,1,1,1,0,52,1
5777044354,0,1,1,1,0,54,0
2569274439,0,0,0,0,1,4,1
1893349230,0,0,0,0,1,2,0
1793196327,1,1,1,1,0,69,1
5014048256,1,1,0,1,0,48,1
8380499930,1,0,0,0,0,15,1
5582316454,1,1,1,1,0,50,0
5575230459,0,1,1,1,0,71,0
4937622024,1,1,1,1,0,70,1
2736355634,0,1,0,0,0,26,1
1446037638,1,1,1,0,0,43,1
8210319041,1,1,0,0,0,43,1
4701678246,1,1,1,1,0,56,1
3045387541,1,1,0,1,0,71,0
1284480947,1,1,1,1,0,55,0
5354152827,1,1,0,1,0,14,1
7353465630,0,0,0,0,1,4,1
1174529164,0,1,0,1,0,28,1
7935490355,1,1,1,1,0,30,1
5311050844,0,0,0,0,1,6,1
5399544360,0,1,1,1,0,71,0
3875043243,1,1,1,1,0,72,0
8073495939,1,1,0,1,0,19,1
5032616143,0,0,0,0,1,1,1
7016355527,0,0,0,0,1,7,0
4014501723,1,1,1,1,0,72,0
7261209152,0,0,0,0,1,1,1
7333532040,1,1,1,1,0,55,0
7007002249,0,0,1,0,1,12,0
7776674832,1,1,0,1,0,27,1
7005225132,0,0,0,0,1,1,1
1725199427,0,0,0,0,1,2,1
3604441832,1,0,0,1,0,14,0
1530555250,0,1,1,1,0,61,0
6521292457,0,1,1,1,0,68,0
8291243949,0,1,1,1,0,72,0
3067588135,1,1,1,1,0,59,1
2189232456,0,0,0,1,0,35,0
4846547423,1,0,1,1,0,33,1
2367447026,1,0,1,1,0,19,0
5009060249,0,1,1,1,0,66,0
2815326450,1,0,1,1,0,24,0
5567376134,0,0,0,0,1,1,1
7779335529,0,0,0,1,1,13,1
1584013329,1,1,1,1,0,67,1
1956066045,0,0,0,0,1,4,1
5065017635,1,1,0,1,1,34,0
5822180252,1,1,0,1,0,36,0
8731628424,0,0,1,1,1,39,0
2810445857,1,0,1,1,1,31,0
6218341239,0,0,0,0,1,8,0
5804359159,0,0,0,0,1,3,1
2702676548,1,1,1,1,0,57,0
2005250832,1,0,1,1,0,23,1
1520086026,0,1,1,1,0,64,1
1763651646,0,0,0,0,1,10,1
3779452360,1,1,1,1,0,67,0
7254596527,0,1,1,1,0,64,0
2790098153,0,0,0,0,1,1,1
5695393359,0,0,0,0,1,1,1
6753464649,1,0,0,1,0,30,1
8340337434,0,1,0,0,1,2,0
3629212240,0,0,0,0,1,1,0
5929456340,1,1,0,0,1,7,0
4997336247,1,1,1,1,0,52,0
5156032352,1,0,0,0,1,1,0
2738510862,1,0,0,1,0,46,0
3960038629,1,1,0,0,1,11,1
8230309461,0,0,0,1,0,30,1
6418129143,1,0,0,0,1,6,1
5232303533,1,1,1,1,0,72,0
2375663934,1,1,1,1,0,71,0
1725320855,0,0,0,1,1,40,0
5061693663,1,1,0,1,0,48,1
1616318851,1,1,1,1,0,58,0
3526431558,0,0,0,1,0,14,0
8895595760,1,0,1,1,0,36,0
5690286145,0,1,1,1,0,66,0
8486587039,1,0,1,0,1,3,0
8044050548,0,0,0,1,1,20,1
6171088451,1,0,0,0,1,1,0
1248074363,1,1,1,1,0,61,0
4678428234,0,0,0,0,1,3,1
4927058452,1,0,0,0,1,3,0
5105233233,0,0,0,1,0,17,1
5892169658,1,1,0,1,0,47,0
5363052932,0,1,1,1,0,56,0
7455024540,1,0,0,1,1,13,0
7018483049,0,0,0,0,1,1,1
5938308948,1,0,1,1,0,28,0
3513196625,0,0,0,0,1,7,1
7117280261,1,1,1,1,0,58,0
3168531533,0,1,1,1,0,58,1
4616058140,0,0,0,0,1,1,1
1681007160,1,0,0,0,1,1,0
7975329826,0,0,1,1,0,31,1
7348517942,1,0,0,0,1,1,1
2414217528,1,0,1,0,1,5,0
1507604325,1,1,0,1,0,16,0
6336374230,1,0,0,0,1,4,0
2158660341,1,0,1,1,0,29,0
5216226732,0,0,0,1,1,40,0
2933290043,0,0,0,1,0,25,1
6577598634,0,0,0,1,0,42,1
8727114465,1,0,0,0,1,3,1
2605625248,1,0,0,1,0,13,0
2564191434,1,0,0,1,1,24,0
7879273150,0,1,1,1,0,52,0
2217586227,1,0,0,0,1,5,1
1461668246,1,0,1,1,0,39,0
5121381348,0,1,1,1,0,58,0
6116513436,1,0,0,0,1,5,0
8562685961,1,0,1,1,0,45,1
8427062261,0,0,1,1,0,40,1
3976640265,1,1,1,1,0,63,0
8480012641,0,0,0,1,0,33,1
3808687742,1,1,0,1,0,35,0
7477158444,0,1,1,1,0,50,1
4948153139,1,0,0,0,1,7,0
3687550127,1,0,0,0,1,5,1
3581303362,1,1,1,0,0,32,0
3354486147,0,0,0,0,0,37,1
2045310660,1,1,0,0,1,1,0
3480229826,1,1,1,1,0,71,0
8340572245,1,1,1,1,0,67,0
2345206126,0,0,0,0,1,34,0
3277579422,1,0,0,0,1,42,0
8237192954,1,1,1,0,0,20,0
3193361846,0,0,0,0,0,37,0
1954514338,1,1,0,0,1,2,0
4074528456,1,0,1,0,0,46,0
5581507422,1,1,1,1,0,53,0
3223068740,1,0,0,0,1,2,1
3269274364,1,1,0,0,1,7,0
1287419532,1,1,1,1,0,72,0
8641007245,1,1,1,1,0,52,1
1564650542,1,0,0,0,0,15,0
2351293328,0,1,1,1,0,64,0
5771665538,1,0,0,0,1,1,1
6766401951,0,0,0,0,1,4,1
2468319765,1,1,1,1,0,50,0
6387113461,1,1,1,1,0,71,0
8787600836,0,1,1,1,0,68,1
6120104625,1,1,1,0,0,29,0
4135280128,1,1,1,1,0,60,0
6799413337,0,0,0,0,1,24,0
1096510650,0,1,1,1,0,71,0
6366376726,0,0,0,0,1,1,1
8972578437,0,0,0,0,0,15,1
5306618731,0,0,0,0,1,4,1
5819515460,1,0,0,0,1,23,0
3015366325,1,0,1,0,0,22,0
8544388831,0,1,1,1,0,68,1
6980437737,0,0,0,0,1,2,1
7648307629,0,0,0,0,1,2,1
6221042938,0,0,0,0,0,18,0
4985160128,1,1,1,1,0,65,0
5389180043,1,1,0,0,0,34,0
7630535163,0,0,0,0,1,10,1
8260374352,1,1,1,1,0,48,0
8689204261,0,0,0,0,1,1,0
4517064932,0,0,0,0,0,24,1
2552017355,1,0,0,1,0,14,1
1000547236,0,0,0,0,1,1,0
6598522057,0,0,0,0,1,9,0
2570573434,0,1,1,1,0,72,0
7933532434,1,0,1,0,0,47,1
7736006032,0,1,1,1,0,72,0
4186323748,0,1,0,0,1,1,1
1226250555,1,1,1,1,0,72,0
5965149224,0,1,0,0,1,3,0
4777672140,1,1,1,0,0,15,0
3482122242,1,0,0,0,1,16,1
