Week,Sales,TVCM,Newspaper,Web
2016/1/3,1940348,1312200,0,0
2016/1/10,2813841,0,502900,237400
2016/1/17,2225457,0,432100,200600
2016/1/24,1661417,0,338400,0
2016/1/31,1778688,0,0,234000
2016/2/7,2889809,852800,461200,217200
2016/2/14,2347076,0,0,247800
2016/2/21,2891854,930900,421000,204200
2016/2/28,2771510,0,303100,189600
2016/3/6,2269647,0,434100,235000
2016/3/13,1631608,0,474600,0
2016/3/20,1172646,0,0,0
2016/3/27,2438163,1244400,604000,0
2016/4/3,1958377,993600,0,0
2016/4/10,2335736,0,0,198700
2016/4/17,2485997,970700,0,181200
2016/4/24,2269654,0,0,238100
2016/5/1,2911713,882300,526400,200300
2016/5/8,2425045,977600,0,176900
2016/5/15,2855006,837500,419100,180300
2016/5/22,2436999,0,0,211800
2016/5/29,2348521,1232500,0,207700
2016/6/5,2261439,0,0,156200
2016/6/12,2322901,809000,412700,0
2016/6/19,1793479,0,0,0
2016/6/26,1158805,0,0,0
2016/7/3,2163058,0,535200,207600
2016/7/10,1647675,0,0,205400
2016/7/17,2942014,1202000,598200,197500
2016/7/24,2342106,0,342900,0
2016/7/31,2210820,0,450600,182300
2016/8/7,1713545,0,564500,0
2016/8/14,1660206,0,0,257400
2016/8/21,1649266,0,571100,0
2016/8/28,2390087,949000,285400,0
2016/9/4,2681338,0,381800,179500
2016/9/11,1669131,0,0,213700
2016/9/18,2087685,0,327600,173000
2016/9/25,1618260,0,0,164100
2016/10/2,2390712,1005300,0,164800
2016/10/9,2415822,829800,0,253900
2016/10/16,2409768,665900,0,195400
2016/10/23,2396926,592900,556700,0
2016/10/30,2086361,1251100,0,0
2016/11/6,1844600,0,0,0
2016/11/13,1803461,0,0,205800
2016/11/20,1716272,0,475500,0
2016/11/27,2151937,0,462000,189600
2016/12/4,2245737,0,615100,224100
2016/12/11,1671766,0,0,168400
2016/12/18,2815674,894800,698400,217300
2016/12/25,2900248,0,532600,257300
2017/1/1,2944408,942700,409300,191700
2017/1/8,2257620,0,0,218600
2017/1/15,1733815,0,0,221900
2017/1/22,1563317,0,0,198900
2017/1/29,1706711,0,313500,220900
2017/2/5,1615971,0,0,170300
2017/2/12,1641130,0,0,171900
2017/2/19,1657640,0,0,197100
2017/2/26,2899348,952100,481500,195200
2017/3/5,2988279,909500,406700,198500
2017/3/12,2339911,0,0,227300
2017/3/19,1716110,0,0,167300
2017/3/26,1713915,0,478500,0
2017/4/2,2235826,0,448100,208400
2017/4/9,1188452,0,0,0
2017/4/16,1688711,0,0,209400
2017/4/23,1608382,0,0,203300
2017/4/30,1591290,0,0,200400
2017/5/7,1129367,0,0,0
2017/5/14,1595153,0,0,203900
2017/5/21,2182303,0,622600,208100
2017/5/28,2341432,798200,0,172400
2017/6/4,2312015,0,284700,218700
2017/6/11,1239943,0,0,0
2017/6/18,2881945,759800,511300,167400
