No,date,day of week,Lottery_result
1,1994/10/7,Friday,191
2,1994/10/14,Friday,988
3,1994/10/21,Friday,194
4,1994/10/28,Friday,105
5,1994/11/4,Friday,592
6,1994/11/11,Friday,792
7,1994/11/18,Friday,708
8,1994/11/25,Friday,234
9,1994/12/2,Friday,243
10,1994/12/9,Friday,340
11,1994/12/16,Friday,326
12,1994/12/23,Friday,247
13,1994/12/30,Friday,229
14,1995/1/6,Friday,743
15,1995/1/10,Tuesday,19
16,1995/1/13,Friday,179
17,1995/1/17,Tuesday,475
18,1995/1/20,Friday,291
19,1995/1/24,Tuesday,852
20,1995/1/27,Friday,502
21,1995/1/31,Tuesday,558
22,1995/2/3,Friday,951
23,1995/2/7,Tuesday,912
24,1995/2/10,Friday,39
25,1995/2/14,Tuesday,458
26,1995/2/17,Friday,984
27,1995/2/21,Tuesday,917
28,1995/2/24,Friday,789
29,1995/2/28,Tuesday,589
30,1995/3/3,Friday,725
31,1995/3/7,Tuesday,73
32,1995/3/10,Friday,547
33,1995/3/14,Tuesday,63
34,1995/3/17,Friday,634
35,1995/3/21,Tuesday,333
36,1995/3/24,Friday,405
37,1995/3/28,Tuesday,168
38,1995/3/31,Friday,389
39,1995/4/4,Tuesday,587
40,1995/4/7,Friday,304
41,1995/4/11,Tuesday,48
42,1995/4/14,Friday,228
43,1995/4/18,Tuesday,922
44,1995/4/21,Friday,697
45,1995/4/25,Tuesday,970
46,1995/4/28,Friday,298
47,1995/5/2,Tuesday,989
48,1995/5/5,Friday,202
49,1995/5/9,Tuesday,476
50,1995/5/12,Friday,42
51,1995/5/16,Tuesday,802
52,1995/5/19,Friday,717
53,1995/5/23,Tuesday,889
54,1995/5/26,Friday,226
55,1995/5/30,Tuesday,728
56,1995/6/2,Friday,929
57,1995/6/6,Tuesday,836
58,1995/6/9,Friday,383
59,1995/6/13,Tuesday,410
60,1995/6/16,Friday,980
61,1995/6/20,Tuesday,542
62,1995/6/23,Friday,725
63,1995/6/27,Tuesday,251
64,1995/6/30,Friday,260
65,1995/7/4,Tuesday,588
66,1995/7/7,Friday,512
67,1995/7/11,Tuesday,512
68,1995/7/14,Friday,750
69,1995/7/18,Tuesday,902
70,1995/7/21,Friday,963
71,1995/7/25,Tuesday,661
72,1995/7/28,Friday,879
73,1995/8/1,Tuesday,452
74,1995/8/4,Friday,174
75,1995/8/8,Tuesday,283
76,1995/8/11,Friday,238
77,1995/8/15,Tuesday,972
78,1995/8/18,Friday,241
79,1995/8/22,Tuesday,310
80,1995/8/25,Friday,882
81,1995/8/29,Tuesday,269
82,1995/9/1,Friday,144
83,1995/9/5,Tuesday,174
84,1995/9/8,Friday,882
85,1995/9/12,Tuesday,307
86,1995/9/15,Friday,864
87,1995/9/19,Tuesday,370
88,1995/9/22,Friday,739
89,1995/9/26,Tuesday,697
90,1995/9/29,Friday,689
91,1995/10/3,Tuesday,168
92,1995/10/6,Friday,957
93,1995/10/10,Tuesday,910
94,1995/10/13,Friday,933
95,1995/10/17,Tuesday,306
96,1995/10/20,Friday,944
97,1995/10/24,Tuesday,988
98,1995/10/27,Friday,562
99,1995/10/31,Tuesday,571
100,1995/11/3,Friday,899
101,1995/11/7,Tuesday,945
102,1995/11/10,Friday,560
103,1995/11/14,Tuesday,824
104,1995/11/17,Friday,610
105,1995/11/21,Tuesday,619
106,1995/11/24,Friday,86
107,1995/11/28,Tuesday,82
108,1995/12/1,Friday,254
109,1995/12/5,Tuesday,191
110,1995/12/8,Friday,385
111,1995/12/12,Tuesday,56
112,1995/12/15,Friday,167
113,1995/12/19,Tuesday,744
114,1995/12/22,Friday,205
115,1995/12/26,Tuesday,770
116,1995/12/29,Friday,366
117,1996/1/5,Friday,952
118,1996/1/9,Tuesday,635
119,1996/1/12,Friday,952
120,1996/1/16,Tuesday,650
121,1996/1/19,Friday,439
122,1996/1/23,Tuesday,458
123,1996/1/26,Friday,513
124,1996/1/30,Tuesday,863
125,1996/2/2,Friday,409
126,1996/2/6,Tuesday,318
127,1996/2/9,Friday,217
128,1996/2/13,Tuesday,855
129,1996/2/16,Friday,620
130,1996/2/20,Tuesday,559
131,1996/2/23,Friday,820
132,1996/2/27,Tuesday,16
133,1996/3/1,Friday,926
134,1996/3/5,Tuesday,603
135,1996/3/8,Friday,454
136,1996/3/12,Tuesday,295
137,1996/3/15,Friday,819
138,1996/3/19,Tuesday,995
139,1996/3/22,Friday,356
140,1996/3/26,Tuesday,54
141,1996/3/29,Friday,783
142,1996/4/2,Tuesday,77
143,1996/4/5,Friday,694
144,1996/4/9,Tuesday,594
145,1996/4/12,Friday,125
146,1996/4/16,Tuesday,766
147,1996/4/19,Friday,464
148,1996/4/23,Tuesday,489
149,1996/4/26,Friday,3
150,1996/4/30,Tuesday,538
151,1996/5/3,Friday,332
152,1996/5/7,Tuesday,224
153,1996/5/10,Friday,750
154,1996/5/14,Tuesday,791
155,1996/5/17,Friday,126
156,1996/5/21,Tuesday,991
157,1996/5/24,Friday,570
158,1996/5/28,Tuesday,604
159,1996/5/31,Friday,259
160,1996/6/4,Tuesday,839
161,1996/6/7,Friday,284
162,1996/6/11,Tuesday,516
163,1996/6/14,Friday,648
164,1996/6/18,Tuesday,198
165,1996/6/21,Friday,563
166,1996/6/25,Tuesday,331
167,1996/6/28,Friday,233
168,1996/7/2,Tuesday,107
169,1996/7/5,Friday,351
170,1996/7/9,Tuesday,574
171,1996/7/12,Friday,679
172,1996/7/16,Tuesday,355
173,1996/7/19,Friday,581
174,1996/7/23,Tuesday,967
175,1996/7/26,Friday,683
176,1996/7/30,Tuesday,203
177,1996/8/2,Friday,845
178,1996/8/6,Tuesday,464
179,1996/8/9,Friday,168
180,1996/8/13,Tuesday,632
181,1996/8/16,Friday,890
182,1996/8/20,Tuesday,439
183,1996/8/23,Friday,589
184,1996/8/27,Tuesday,492
185,1996/8/30,Friday,882
186,1996/9/3,Tuesday,439
187,1996/9/6,Friday,975
188,1996/9/10,Tuesday,254
189,1996/9/13,Friday,199
190,1996/9/17,Tuesday,170
191,1996/9/20,Friday,424
192,1996/9/24,Tuesday,21
193,1996/9/27,Friday,656
194,1996/10/1,Tuesday,812
195,1996/10/4,Friday,819
196,1996/10/8,Tuesday,907
197,1996/10/11,Friday,728
198,1996/10/15,Tuesday,374
199,1996/10/18,Friday,269
200,1996/10/22,Tuesday,411
201,1996/10/25,Friday,176
202,1996/10/29,Tuesday,676
203,1996/11/1,Friday,93
204,1996/11/5,Tuesday,211
205,1996/11/8,Friday,531
206,1996/11/12,Tuesday,938
207,1996/11/15,Friday,413
208,1996/11/19,Tuesday,781
209,1996/11/22,Friday,920
210,1996/11/26,Tuesday,192
211,1996/11/29,Friday,22
212,1996/12/3,Tuesday,151
213,1996/12/6,Friday,502
214,1996/12/10,Tuesday,870
215,1996/12/13,Friday,215
216,1996/12/17,Tuesday,337
217,1996/12/20,Friday,712
218,1996/12/24,Tuesday,594
219,1996/12/27,Friday,260
220,1997/1/7,Tuesday,112
221,1997/1/10,Friday,514
222,1997/1/14,Tuesday,227
223,1997/1/17,Friday,333
224,1997/1/21,Tuesday,466
225,1997/1/24,Friday,751
226,1997/1/28,Tuesday,952
227,1997/1/31,Friday,188
228,1997/2/4,Tuesday,14
229,1997/2/7,Friday,409
230,1997/2/11,Tuesday,383
231,1997/2/14,Friday,523
232,1997/2/18,Tuesday,945
233,1997/2/21,Friday,65
234,1997/2/25,Tuesday,317
235,1997/2/28,Friday,582
236,1997/3/4,Tuesday,830
237,1997/3/7,Friday,648
238,1997/3/11,Tuesday,414
239,1997/3/14,Friday,741
240,1997/3/18,Tuesday,229
241,1997/3/21,Friday,400
242,1997/3/25,Tuesday,66
243,1997/3/28,Friday,608
244,1997/4/1,Tuesday,140
245,1997/4/4,Friday,827
246,1997/4/8,Tuesday,593
247,1997/4/11,Friday,537
248,1997/4/15,Tuesday,193
249,1997/4/18,Friday,624
250,1997/4/22,Tuesday,180
251,1997/4/25,Friday,227
252,1997/4/29,Tuesday,4
253,1997/5/2,Friday,616
254,1997/5/6,Tuesday,238
255,1997/5/9,Friday,770
256,1997/5/13,Tuesday,88
257,1997/5/16,Friday,935
258,1997/5/20,Tuesday,447
259,1997/5/23,Friday,216
260,1997/5/27,Tuesday,61
261,1997/5/30,Friday,596
262,1997/6/3,Tuesday,42
263,1997/6/6,Friday,839
264,1997/6/10,Tuesday,362
265,1997/6/13,Friday,928
266,1997/6/17,Tuesday,972
267,1997/6/20,Friday,93
268,1997/6/24,Tuesday,24
269,1997/6/27,Friday,782
270,1997/7/1,Tuesday,793
271,1997/7/4,Friday,823
272,1997/7/8,Tuesday,783
273,1997/7/11,Friday,526
274,1997/7/15,Tuesday,854
275,1997/7/18,Friday,806
276,1997/7/22,Tuesday,385
277,1997/7/25,Friday,632
278,1997/7/29,Tuesday,877
279,1997/8/1,Friday,891
280,1997/8/5,Tuesday,326
281,1997/8/8,Friday,907
282,1997/8/12,Tuesday,743
283,1997/8/15,Friday,940
284,1997/8/19,Tuesday,588
285,1997/8/22,Friday,760
286,1997/8/26,Tuesday,272
287,1997/8/29,Friday,925
288,1997/9/2,Tuesday,144
289,1997/9/5,Friday,838
290,1997/9/9,Tuesday,167
291,1997/9/12,Friday,85
292,1997/9/16,Tuesday,737
293,1997/9/19,Friday,663
294,1997/9/23,Tuesday,107
295,1997/9/26,Friday,75
296,1997/9/30,Tuesday,880
297,1997/10/3,Friday,144
298,1997/10/6,Monday,104
299,1997/10/8,Wednesday,155
300,1997/10/10,Friday,126
301,1997/10/13,Monday,330
302,1997/10/15,Wednesday,1
303,1997/10/17,Friday,497
304,1997/10/20,Monday,399
305,1997/10/22,Wednesday,367
306,1997/10/24,Friday,748
307,1997/10/27,Monday,690
308,1997/10/29,Wednesday,519
309,1997/10/31,Friday,777
310,1997/11/3,Monday,575
311,1997/11/5,Wednesday,104
312,1997/11/7,Friday,68
313,1997/11/10,Monday,69
314,1997/11/12,Wednesday,242
315,1997/11/14,Friday,137
316,1997/11/17,Monday,218
317,1997/11/19,Wednesday,190
318,1997/11/21,Friday,537
319,1997/11/24,Monday,395
320,1997/11/26,Wednesday,598
321,1997/11/28,Friday,429
322,1997/12/1,Monday,64
323,1997/12/3,Wednesday,375
324,1997/12/5,Friday,805
325,1997/12/8,Monday,531
326,1997/12/10,Wednesday,930
327,1997/12/12,Friday,980
328,1997/12/15,Monday,736
329,1997/12/17,Wednesday,543
330,1997/12/19,Friday,179
331,1997/12/22,Monday,196
332,1997/12/24,Wednesday,167
333,1997/12/26,Friday,238
334,1997/12/29,Monday,480
335,1998/1/5,Monday,950
336,1998/1/7,Wednesday,551
337,1998/1/9,Friday,632
338,1998/1/12,Monday,704
339,1998/1/14,Wednesday,152
340,1998/1/16,Friday,992
341,1998/1/19,Monday,259
342,1998/1/21,Wednesday,686
343,1998/1/23,Friday,997
344,1998/1/26,Monday,35
345,1998/1/28,Wednesday,513
346,1998/1/30,Friday,0
347,1998/2/2,Monday,718
348,1998/2/4,Wednesday,394
349,1998/2/6,Friday,431
350,1998/2/9,Monday,638
351,1998/2/11,Wednesday,417
352,1998/2/13,Friday,38
353,1998/2/16,Monday,996
354,1998/2/18,Wednesday,750
355,1998/2/20,Friday,487
356,1998/2/23,Monday,852
357,1998/2/25,Wednesday,756
358,1998/2/27,Friday,469
359,1998/3/2,Monday,277
360,1998/3/4,Wednesday,965
361,1998/3/6,Friday,965
362,1998/3/9,Monday,640
363,1998/3/11,Wednesday,458
364,1998/3/13,Friday,908
365,1998/3/16,Monday,887
366,1998/3/18,Wednesday,841
367,1998/3/20,Friday,778
368,1998/3/23,Monday,805
369,1998/3/25,Wednesday,135
370,1998/3/27,Friday,91
371,1998/3/30,Monday,798
372,1998/4/1,Wednesday,202
373,1998/4/3,Friday,417
374,1998/4/6,Monday,409
375,1998/4/8,Wednesday,994
376,1998/4/10,Friday,274
377,1998/4/13,Monday,155
378,1998/4/15,Wednesday,75
379,1998/4/17,Friday,649
380,1998/4/20,Monday,820
381,1998/4/22,Wednesday,885
382,1998/4/24,Friday,606
383,1998/4/27,Monday,81
384,1998/4/29,Wednesday,690
385,1998/5/1,Friday,332
386,1998/5/4,Monday,578
387,1998/5/6,Wednesday,396
388,1998/5/8,Friday,227
389,1998/5/11,Monday,275
390,1998/5/13,Wednesday,956
391,1998/5/15,Friday,66
392,1998/5/18,Monday,426
393,1998/5/20,Wednesday,29
394,1998/5/22,Friday,729
395,1998/5/25,Monday,440
396,1998/5/27,Wednesday,963
397,1998/5/29,Friday,345
398,1998/6/1,Monday,274
399,1998/6/3,Wednesday,816
400,1998/6/5,Friday,596
401,1998/6/8,Monday,354
402,1998/6/10,Wednesday,58
403,1998/6/12,Friday,431
404,1998/6/15,Monday,109
405,1998/6/17,Wednesday,891
406,1998/6/19,Friday,222
407,1998/6/22,Monday,42
408,1998/6/24,Wednesday,237
409,1998/6/26,Friday,400
410,1998/6/29,Monday,866
411,1998/7/1,Wednesday,636
412,1998/7/3,Friday,514
413,1998/7/6,Monday,910
414,1998/7/8,Wednesday,737
415,1998/7/10,Friday,834
416,1998/7/13,Monday,1
417,1998/7/15,Wednesday,371
418,1998/7/17,Friday,429
419,1998/7/20,Monday,723
420,1998/7/22,Wednesday,427
421,1998/7/24,Friday,402
422,1998/7/27,Monday,495
423,1998/7/29,Wednesday,367
424,1998/7/31,Friday,43
425,1998/8/3,Monday,535
426,1998/8/5,Wednesday,618
427,1998/8/7,Friday,159
428,1998/8/10,Monday,512
429,1998/8/12,Wednesday,641
430,1998/8/14,Friday,652
431,1998/8/17,Monday,219
432,1998/8/19,Wednesday,163
433,1998/8/21,Friday,255
434,1998/8/24,Monday,698
435,1998/8/26,Wednesday,161
436,1998/8/28,Friday,244
437,1998/8/31,Monday,727
438,1998/9/2,Wednesday,235
439,1998/9/4,Friday,605
440,1998/9/7,Monday,520
441,1998/9/9,Wednesday,196
442,1998/9/11,Friday,174
443,1998/9/14,Monday,198
444,1998/9/16,Wednesday,107
445,1998/9/18,Friday,87
446,1998/9/21,Monday,531
447,1998/9/23,Wednesday,453
448,1998/9/25,Friday,785
449,1998/9/28,Monday,48
450,1998/9/30,Wednesday,33
451,1998/10/2,Friday,423
452,1998/10/5,Monday,666
453,1998/10/7,Wednesday,102
454,1998/10/9,Friday,713
455,1998/10/12,Monday,612
456,1998/10/14,Wednesday,887
457,1998/10/16,Friday,189
458,1998/10/19,Monday,383
459,1998/10/21,Wednesday,620
460,1998/10/23,Friday,150
461,1998/10/26,Monday,190
462,1998/10/28,Wednesday,292
463,1998/10/30,Friday,994
464,1998/11/2,Monday,86
465,1998/11/4,Wednesday,95
466,1998/11/6,Friday,256
467,1998/11/9,Monday,882
468,1998/11/11,Wednesday,687
469,1998/11/13,Friday,949
470,1998/11/16,Monday,577
471,1998/11/18,Wednesday,301
472,1998/11/20,Friday,616
473,1998/11/23,Monday,407
474,1998/11/25,Wednesday,41
475,1998/11/27,Friday,583
476,1998/11/30,Monday,111
477,1998/12/2,Wednesday,498
478,1998/12/4,Friday,277
479,1998/12/7,Monday,962
480,1998/12/9,Wednesday,335
481,1998/12/11,Friday,550
482,1998/12/14,Monday,818
483,1998/12/16,Wednesday,75
484,1998/12/18,Friday,899
485,1998/12/21,Monday,485
486,1998/12/23,Wednesday,932
487,1998/12/25,Friday,856
488,1998/12/28,Monday,115
489,1998/12/30,Wednesday,618
490,1999/1/4,Monday,634
491,1999/1/6,Wednesday,995
492,1999/1/8,Friday,931
493,1999/1/11,Monday,385
494,1999/1/13,Wednesday,153
495,1999/1/15,Friday,827
496,1999/1/18,Monday,28
497,1999/1/20,Wednesday,595
498,1999/1/22,Friday,211
499,1999/1/25,Monday,12
500,1999/1/27,Wednesday,679
501,1999/1/29,Friday,640
502,1999/2/1,Monday,929
503,1999/2/3,Wednesday,782
504,1999/2/5,Friday,947
505,1999/2/8,Monday,480
506,1999/2/10,Wednesday,993
507,1999/2/12,Friday,172
508,1999/2/15,Monday,295
509,1999/2/17,Wednesday,831
510,1999/2/19,Friday,253
511,1999/2/22,Monday,914
512,1999/2/24,Wednesday,947
513,1999/2/26,Friday,900
514,1999/3/1,Monday,122
515,1999/3/3,Wednesday,286
516,1999/3/5,Friday,583
517,1999/3/8,Monday,287
518,1999/3/10,Wednesday,402
519,1999/3/12,Friday,658
520,1999/3/15,Monday,493
521,1999/3/17,Wednesday,535
522,1999/3/19,Friday,73
523,1999/3/22,Monday,532
524,1999/3/24,Wednesday,36
525,1999/3/26,Friday,919
526,1999/3/29,Monday,357
527,1999/3/31,Wednesday,593
528,1999/4/2,Friday,743
529,1999/4/5,Monday,413
530,1999/4/7,Wednesday,719
531,1999/4/9,Friday,835
532,1999/4/12,Monday,277
533,1999/4/14,Wednesday,200
534,1999/4/16,Friday,432
535,1999/4/19,Monday,205
536,1999/4/21,Wednesday,951
537,1999/4/23,Friday,998
538,1999/4/26,Monday,628
