No,date,day of week,Lottery_result,hundreds_place,tens_place,ones_place
1,2012/1/4,Wednesday,416,4,1,6
2,2012/1/5,Thursday,447,4,4,7
3,2012/1/6,Friday,458,4,5,8
4,2012/1/9,Monday,965,9,6,5
5,2012/1/10,Tuesday,813,8,1,3
6,2012/1/11,Wednesday,861,8,6,1
7,2012/1/12,Thursday,552,5,5,2
8,2012/1/13,Friday,910,9,1,0
9,2012/1/16,Monday,674,6,7,4
10,2012/1/17,Tuesday,398,3,9,8
11,2012/1/18,Wednesday,93,0,9,3
12,2012/1/19,Thursday,251,2,5,1
13,2012/1/20,Friday,556,5,5,6
14,2012/1/23,Monday,707,7,0,7
15,2012/1/24,Tuesday,478,4,7,8
16,2012/1/25,Wednesday,17,0,1,7
17,2012/1/26,Thursday,233,2,3,3
18,2012/1/27,Friday,79,0,7,9
19,2012/1/30,Monday,181,1,8,1
20,2012/1/31,Tuesday,718,7,1,8
21,2012/2/1,Wednesday,76,0,7,6
22,2012/2/2,Thursday,782,7,8,2
23,2012/2/3,Friday,768,7,6,8
24,2012/2/6,Monday,871,8,7,1
25,2012/2/7,Tuesday,933,9,3,3
26,2012/2/8,Wednesday,890,8,9,0
27,2012/2/9,Thursday,359,3,5,9
28,2012/2/10,Friday,5,0,0,5
29,2012/2/13,Monday,732,7,3,2
30,2012/2/14,Tuesday,219,2,1,9
31,2012/2/15,Wednesday,59,0,5,9
32,2012/2/16,Thursday,668,6,6,8
33,2012/2/17,Friday,629,6,2,9
34,2012/2/20,Monday,563,5,6,3
35,2012/2/21,Tuesday,126,1,2,6
36,2012/2/22,Wednesday,141,1,4,1
37,2012/2/23,Thursday,366,3,6,6
38,2012/2/24,Friday,267,2,6,7
39,2012/2/27,Monday,343,3,4,3
40,2012/2/28,Tuesday,490,4,9,0
41,2012/2/29,Wednesday,874,8,7,4
42,2012/3/1,Thursday,12,0,1,2
43,2012/3/2,Friday,7,0,0,7
44,2012/3/5,Monday,976,9,7,6
45,2012/3/6,Tuesday,833,8,3,3
46,2012/3/7,Wednesday,17,0,1,7
47,2012/3/8,Thursday,940,9,4,0
48,2012/3/9,Friday,422,4,2,2
49,2012/3/12,Monday,771,7,7,1
