No,date,Lottery_result,hundreds_place,tens_place,ones_place
1,2017/1/4,450,4,5,0
2,2017/1/5,387,3,8,7
3,2017/1/6,714,7,1,4
4,2017/1/9,76,0,7,6
5,2017/1/10,339,3,3,9
6,2017/1/11,694,6,9,4
7,2017/1/12,575,5,7,5
8,2017/1/13,211,2,1,1
9,2017/1/16,85,0,8,5
10,2017/1/17,649,6,4,9
11,2017/1/18,745,7,4,5
12,2017/1/19,697,6,9,7
13,2017/1/20,859,8,5,9
14,2017/1/23,857,8,5,7
15,2017/1/24,387,3,8,7
16,2017/1/25,644,6,4,4
17,2017/1/26,852,8,5,2
18,2017/1/27,132,1,3,2
19,2017/1/30,440,4,4,0
20,2017/1/31,837,8,3,7
21,2017/2/1,906,9,0,6
22,2017/2/2,292,2,9,2
23,2017/2/3,132,1,3,2
24,2017/2/6,762,7,6,2
25,2017/2/7,862,8,6,2
26,2017/2/8,828,8,2,8
27,2017/2/9,70,0,7,0
28,2017/2/10,261,2,6,1
29,2017/2/13,425,4,2,5
30,2017/2/14,27,0,2,7
31,2017/2/15,89,0,8,9
32,2017/2/16,464,4,6,4
33,2017/2/17,15,0,1,5
34,2017/2/20,890,8,9,0
35,2017/2/21,866,8,6,6
36,2017/2/22,893,8,9,3
37,2017/2/23,840,8,4,0
38,2017/2/24,631,6,3,1
39,2017/2/27,147,1,4,7
40,2017/2/28,788,7,8,8
41,2017/3/1,157,1,5,7
42,2017/3/2,449,4,4,9
43,2017/3/3,111,1,1,1
44,2017/3/6,226,2,2,6
45,2017/3/7,868,8,6,8
46,2017/3/8,959,9,5,9
47,2017/3/9,960,9,6,0
48,2017/3/10,689,6,8,9
49,2017/3/13,785,7,8,5
50,2017/3/14,101,1,0,1
51,2017/3/15,789,7,8,9
52,2017/3/16,101,1,0,1
53,2017/3/17,692,6,9,2
54,2017/3/20,164,1,6,4
55,2017/3/21,64,0,6,4
56,2017/3/22,712,7,1,2
57,2017/3/23,405,4,0,5
58,2017/3/24,719,7,1,9
59,2017/3/27,546,5,4,6
60,2017/3/28,619,6,1,9
61,2017/3/29,53,0,5,3
62,2017/3/30,638,6,3,8
63,2017/3/31,226,2,2,6
64,2017/4/3,66,0,6,6
65,2017/4/4,642,6,4,2
66,2017/4/5,374,3,7,4
67,2017/4/6,984,9,8,4
68,2017/4/7,132,1,3,2
69,2017/4/10,473,4,7,3
70,2017/4/11,81,0,8,1
71,2017/4/12,353,3,5,3
72,2017/4/13,67,0,6,7
73,2017/4/14,535,5,3,5
74,2017/4/17,439,4,3,9
75,2017/4/18,833,8,3,3
76,2017/4/19,91,0,9,1
77,2017/4/20,771,7,7,1
78,2017/4/21,254,2,5,4
79,2017/4/24,364,3,6,4
80,2017/4/25,849,8,4,9
81,2017/4/26,796,7,9,6
82,2017/4/27,799,7,9,9
83,2017/4/28,508,5,0,8
84,2017/5/1,525,5,2,5
85,2017/5/2,939,9,3,9
86,2017/5/3,479,4,7,9
87,2017/5/4,904,9,0,4
88,2017/5/5,433,4,3,3
89,2017/5/8,459,4,5,9
90,2017/5/9,768,7,6,8
91,2017/5/10,161,1,6,1
92,2017/5/11,895,8,9,5
93,2017/5/12,922,9,2,2
94,2017/5/15,682,6,8,2
95,2017/5/16,17,0,1,7
96,2017/5/17,597,5,9,7
97,2017/5/18,423,4,2,3
98,2017/5/19,909,9,0,9
99,2017/5/22,52,0,5,2
100,2017/5/23,509,5,0,9
101,2017/5/24,307,3,0,7
102,2017/5/25,39,0,3,9
103,2017/5/26,41,0,4,1
104,2017/5/29,990,9,9,0
105,2017/5/30,537,5,3,7
106,2017/5/31,471,4,7,1
107,2017/6/1,570,5,7,0
108,2017/6/2,622,6,2,2
109,2017/6/5,873,8,7,3
110,2017/6/6,289,2,8,9
111,2017/6/7,870,8,7,0
112,2017/6/8,37,0,3,7
113,2017/6/9,908,9,0,8
114,2017/6/12,172,1,7,2
115,2017/6/13,577,5,7,7
116,2017/6/14,428,4,2,8
117,2017/6/15,501,5,0,1
118,2017/6/16,540,5,4,0
119,2017/6/19,874,8,7,4
120,2017/6/20,671,6,7,1
121,2017/6/21,311,3,1,1
122,2017/6/22,375,3,7,5
123,2017/6/23,811,8,1,1
124,2017/6/26,242,2,4,2
125,2017/6/27,171,1,7,1
126,2017/6/28,796,7,9,6
127,2017/6/29,208,2,0,8
128,2017/6/30,161,1,6,1
129,2017/7/3,871,8,7,1
130,2017/7/4,713,7,1,3
131,2017/7/5,749,7,4,9
132,2017/7/6,817,8,1,7
133,2017/7/7,346,3,4,6
134,2017/7/10,844,8,4,4
135,2017/7/11,10,0,1,0
136,2017/7/12,904,9,0,4
137,2017/7/13,159,1,5,9
138,2017/7/14,458,4,5,8
139,2017/7/17,401,4,0,1
140,2017/7/18,880,8,8,0
141,2017/7/19,332,3,3,2
142,2017/7/20,8,0,0,8
143,2017/7/21,109,1,0,9
144,2017/7/24,381,3,8,1
145,2017/7/25,661,6,6,1
146,2017/7/26,898,8,9,8
147,2017/7/27,593,5,9,3
148,2017/7/28,679,6,7,9
149,2017/7/31,718,7,1,8
150,2017/8/1,463,4,6,3
151,2017/8/2,722,7,2,2
152,2017/8/3,661,6,6,1
153,2017/8/4,82,0,8,2
154,2017/8/7,207,2,0,7
155,2017/8/8,594,5,9,4
156,2017/8/9,97,0,9,7
157,2017/8/10,229,2,2,9
158,2017/8/11,347,3,4,7
159,2017/8/14,693,6,9,3
160,2017/8/15,201,2,0,1
161,2017/8/16,508,5,0,8
162,2017/8/17,711,7,1,1
163,2017/8/18,105,1,0,5
164,2017/8/21,933,9,3,3
165,2017/8/22,15,0,1,5
166,2017/8/23,409,4,0,9
167,2017/8/24,432,4,3,2
168,2017/8/25,253,2,5,3
169,2017/8/28,185,1,8,5
170,2017/8/29,153,1,5,3
171,2017/8/30,862,8,6,2
172,2017/8/31,7,0,0,7
173,2017/9/1,906,9,0,6
174,2017/9/4,630,6,3,0
175,2017/9/5,58,0,5,8
176,2017/9/6,301,3,0,1
177,2017/9/7,297,2,9,7
178,2017/9/8,707,7,0,7
179,2017/9/11,199,1,9,9
180,2017/9/12,147,1,4,7
181,2017/9/13,302,3,0,2
182,2017/9/14,648,6,4,8
183,2017/9/15,132,1,3,2
184,2017/9/18,372,3,7,2
185,2017/9/19,5,0,0,5
186,2017/9/20,684,6,8,4
187,2017/9/21,276,2,7,6
188,2017/9/22,222,2,2,2
189,2017/9/25,313,3,1,3
190,2017/9/26,214,2,1,4
191,2017/9/27,228,2,2,8
192,2017/9/28,347,3,4,7
193,2017/9/29,573,5,7,3
194,2017/10/2,321,3,2,1
195,2017/10/3,679,6,7,9
196,2017/10/4,925,9,2,5
197,2017/10/5,870,8,7,0
198,2017/10/6,656,6,5,6
199,2017/10/9,187,1,8,7
200,2017/10/10,925,9,2,5
201,2017/10/11,85,0,8,5
202,2017/10/12,933,9,3,3
203,2017/10/13,394,3,9,4
204,2017/10/16,236,2,3,6
205,2017/10/17,219,2,1,9
206,2017/10/18,21,0,2,1
207,2017/10/19,227,2,2,7
208,2017/10/20,420,4,2,0
209,2017/10/23,71,0,7,1
210,2017/10/24,252,2,5,2
211,2017/10/25,921,9,2,1
212,2017/10/26,72,0,7,2
213,2017/10/27,830,8,3,0
214,2017/10/30,205,2,0,5
215,2017/10/31,23,0,2,3
216,2017/11/1,46,0,4,6
217,2017/11/2,501,5,0,1
218,2017/11/3,221,2,2,1
219,2017/11/6,996,9,9,6
220,2017/11/7,496,4,9,6
221,2017/11/8,714,7,1,4
222,2017/11/9,836,8,3,6
223,2017/11/10,621,6,2,1
224,2017/11/13,732,7,3,2
225,2017/11/14,523,5,2,3
226,2017/11/15,385,3,8,5
227,2017/11/16,754,7,5,4
228,2017/11/17,434,4,3,4
229,2017/11/20,891,8,9,1
230,2017/11/21,176,1,7,6
231,2017/11/22,609,6,0,9
232,2017/11/23,794,7,9,4
233,2017/11/24,177,1,7,7
234,2017/11/27,173,1,7,3
235,2017/11/28,261,2,6,1
236,2017/11/29,782,7,8,2
237,2017/11/30,820,8,2,0
238,2017/12/1,242,2,4,2
239,2017/12/4,945,9,4,5
240,2017/12/5,233,2,3,3
241,2017/12/6,218,2,1,8
242,2017/12/7,618,6,1,8
243,2017/12/8,937,9,3,7
244,2017/12/11,278,2,7,8
245,2017/12/12,276,2,7,6
246,2017/12/13,43,0,4,3
247,2017/12/14,78,0,7,8
248,2017/12/15,542,5,4,2
249,2017/12/18,325,3,2,5
250,2017/12/19,162,1,6,2
251,2017/12/20,351,3,5,1
252,2017/12/21,663,6,6,3
253,2017/12/22,288,2,8,8
254,2017/12/25,720,7,2,0
255,2017/12/26,809,8,0,9
256,2017/12/27,372,3,7,2
257,2017/12/28,591,5,9,1
258,2017/12/29,842,8,4,2
