No,date,Lottery_result,hundreds_place,tens_place,ones_place
1,2022/1/4,394,3,9,4
2,2022/1/5,917,9,1,7
3,2022/1/6,201,2,0,1
4,2022/1/7,698,6,9,8
5,2022/1/10,758,7,5,8
6,2022/1/11,906,9,0,6
7,2022/1/12,372,3,7,2
8,2022/1/13,387,3,8,7
9,2022/1/14,946,9,4,6
10,2022/1/17,529,5,2,9
11,2022/1/18,118,1,1,8
12,2022/1/19,330,3,3,0
13,2022/1/20,739,7,3,9
14,2022/1/21,597,5,9,7
15,2022/1/24,207,2,0,7
16,2022/1/25,607,6,0,7
17,2022/1/26,988,9,8,8
18,2022/1/27,995,9,9,5
19,2022/1/28,355,3,5,5
20,2022/1/31,125,1,2,5
21,2022/2/1,372,3,7,2
22,2022/2/2,160,1,6,0
23,2022/2/3,839,8,3,9
24,2022/2/4,94,0,9,4
25,2022/2/7,138,1,3,8
26,2022/2/8,355,3,5,5
27,2022/2/9,8,0,0,8
28,2022/2/10,577,5,7,7
29,2022/2/11,888,8,8,8
30,2022/2/14,973,9,7,3
31,2022/2/15,280,2,8,0
32,2022/2/16,494,4,9,4
33,2022/2/17,719,7,1,9
34,2022/2/18,98,0,9,8
35,2022/2/21,991,9,9,1
36,2022/2/22,481,4,8,1
37,2022/2/23,520,5,2,0
38,2022/2/24,811,8,1,1
39,2022/2/25,951,9,5,1
40,2022/2/28,358,3,5,8
41,2022/3/1,463,4,6,3
42,2022/3/2,735,7,3,5
43,2022/3/3,907,9,0,7
44,2022/3/4,432,4,3,2
45,2022/3/7,493,4,9,3
46,2022/3/8,348,3,4,8
47,2022/3/9,516,5,1,6
48,2022/3/10,920,9,2,0
49,2022/3/11,790,7,9,0
50,2022/3/14,552,5,5,2
51,2022/3/15,805,8,0,5
52,2022/3/16,567,5,6,7
53,2022/3/17,798,7,9,8
54,2022/3/18,529,5,2,9
55,2022/3/21,133,1,3,3
56,2022/3/22,428,4,2,8
57,2022/3/23,28,0,2,8
58,2022/3/24,959,9,5,9
59,2022/3/25,928,9,2,8
60,2022/3/28,943,9,4,3
61,2022/3/29,515,5,1,5
62,2022/3/30,522,5,2,2
63,2022/3/31,733,7,3,3
64,2022/4/1,194,1,9,4
65,2022/4/4,60,0,6,0
66,2022/4/5,106,1,0,6
67,2022/4/6,922,9,2,2
68,2022/4/7,622,6,2,2
69,2022/4/8,683,6,8,3
70,2022/4/11,391,3,9,1
71,2022/4/12,338,3,3,8
72,2022/4/13,882,8,8,2
73,2022/4/14,859,8,5,9
74,2022/4/15,451,4,5,1
75,2022/4/18,950,9,5,0
76,2022/4/19,124,1,2,4
77,2022/4/20,162,1,6,2
78,2022/4/21,40,0,4,0
79,2022/4/22,193,1,9,3
80,2022/4/25,696,6,9,6
81,2022/4/26,939,9,3,9
82,2022/4/27,183,1,8,3
83,2022/4/28,621,6,2,1
84,2022/4/29,226,2,2,6
85,2022/5/2,468,4,6,8
86,2022/5/3,985,9,8,5
87,2022/5/4,394,3,9,4
88,2022/5/5,655,6,5,5
89,2022/5/6,529,5,2,9
90,2022/5/9,283,2,8,3
91,2022/5/10,408,4,0,8
92,2022/5/11,713,7,1,3
93,2022/5/12,264,2,6,4
94,2022/5/13,612,6,1,2
95,2022/5/16,981,9,8,1
96,2022/5/17,150,1,5,0
97,2022/5/18,7,0,0,7
98,2022/5/19,603,6,0,3
99,2022/5/20,941,9,4,1
100,2022/5/23,319,3,1,9
101,2022/5/24,123,1,2,3
102,2022/5/25,940,9,4,0
103,2022/5/26,544,5,4,4
104,2022/5/27,431,4,3,1
105,2022/5/30,250,2,5,0
106,2022/5/31,790,7,9,0
107,2022/6/1,30,0,3,0
108,2022/6/2,44,0,4,4
109,2022/6/3,677,6,7,7
110,2022/6/6,739,7,3,9
111,2022/6/7,936,9,3,6
112,2022/6/8,640,6,4,0
113,2022/6/9,415,4,1,5
114,2022/6/10,274,2,7,4
115,2022/6/13,272,2,7,2
116,2022/6/14,753,7,5,3
117,2022/6/15,492,4,9,2
118,2022/6/16,597,5,9,7
119,2022/6/17,87,0,8,7
120,2022/6/20,112,1,1,2
121,2022/6/21,445,4,4,5
122,2022/6/22,377,3,7,7
123,2022/6/23,844,8,4,4
124,2022/6/24,959,9,5,9
125,2022/6/27,953,9,5,3
126,2022/6/28,98,0,9,8
127,2022/6/29,483,4,8,3
128,2022/6/30,134,1,3,4
129,2022/7/1,89,0,8,9
130,2022/7/4,671,6,7,1
131,2022/7/5,640,6,4,0
132,2022/7/6,771,7,7,1
133,2022/7/7,628,6,2,8
134,2022/7/8,641,6,4,1
135,2022/7/11,606,6,0,6
136,2022/7/12,43,0,4,3
137,2022/7/13,689,6,8,9
138,2022/7/14,949,9,4,9
