date,Lottery_result
2018-01-04,858
2018-01-05,384
2018-01-08,976
2018-01-09,930
2018-01-10,634
2018-01-11,223
2018-01-12,413
2018-01-15,881
2018-01-16,368
2018-01-17,873
2018-01-18,916
2018-01-19,955
2018-01-22,122
2018-01-23,327
2018-01-24,92
2018-01-25,282
2018-01-26,956
2018-01-29,415
2018-01-30,432
2018-01-31,437
2018-02-01,546
2018-02-02,291
2018-02-05,461
2018-02-06,139
2018-02-07,138
2018-02-08,448
2018-02-09,936
2018-02-12,221
2018-02-13,876
2018-02-14,347
2018-02-15,631
2018-02-16,725
2018-02-19,949
2018-02-20,271
2018-02-21,545
2018-02-22,320
2018-02-23,60
2018-02-26,60
2018-02-27,350
2018-02-28,839
2018-03-01,382
2018-03-02,776
2018-03-05,411
2018-03-06,586
2018-03-07,45
2018-03-08,123
2018-03-09,720
2018-03-12,497
2018-03-13,243
2018-03-14,363
2018-03-15,236
2018-03-16,399
2018-03-19,217
2018-03-20,118
2018-03-21,486
2018-03-22,29
2018-03-23,900
2018-03-26,484
2018-03-27,905
2018-03-28,800
2018-03-29,339
2018-03-30,950
2018-04-02,684
2018-04-03,507
2018-04-04,750
2018-04-05,352
2018-04-06,516
2018-04-09,760
2018-04-10,16
2018-04-11,759
2018-04-12,196
2018-04-13,775
2018-04-16,118
2018-04-17,993
2018-04-18,984
2018-04-19,159
2018-04-20,955
2018-04-23,716
2018-04-24,936
2018-04-25,81
2018-04-26,355
2018-04-27,714
2018-04-30,2
2018-05-01,440
2018-05-02,372
2018-05-03,589
2018-05-04,119
2018-05-07,299
2018-05-08,909
2018-05-09,37
2018-05-10,402
2018-05-11,30
2018-05-14,604
2018-05-15,497
2018-05-16,909
2018-05-17,851
2018-05-18,934
2018-05-21,109
2018-05-22,531
2018-05-23,393
2018-05-24,496
2018-05-25,535
2018-05-28,513
2018-05-29,797
2018-05-30,648
2018-05-31,319
2018-06-01,669
2018-06-04,173
2018-06-05,269
2018-06-06,557
2018-06-07,653
2018-06-08,137
2018-06-11,413
2018-06-12,193
2018-06-13,642
2018-06-14,487
2018-06-15,765
2018-06-18,119
2018-06-19,182
2018-06-20,912
2018-06-21,18
2018-06-22,1
2018-06-25,549
2018-06-26,256
2018-06-27,32
2018-06-28,751
2018-06-29,349
2018-07-02,193
2018-07-03,489
2018-07-04,901
2018-07-05,668
2018-07-06,870
2018-07-09,61
2018-07-10,625
2018-07-11,223
2018-07-12,205
2018-07-13,989
2018-07-16,176
2018-07-17,877
2018-07-18,580
2018-07-19,51
2018-07-20,115
2018-07-23,330
2018-07-24,977
2018-07-25,778
2018-07-26,220
2018-07-27,241
2018-07-30,96
2018-07-31,430
2018-08-01,918
2018-08-02,644
2018-08-03,646
2018-08-06,47
2018-08-07,260
2018-08-08,529
2018-08-09,879
2018-08-10,890
2018-08-13,69
2018-08-14,322
2018-08-15,505
2018-08-16,480
2018-08-17,131
2018-08-20,203
2018-08-21,78
2018-08-22,308
2018-08-23,371
2018-08-24,75
2018-08-27,300
2018-08-28,650
2018-08-29,731
2018-08-30,943
2018-08-31,271
2018-09-03,45
2018-09-04,317
2018-09-05,488
2018-09-06,480
2018-09-07,571
2018-09-10,635
2018-09-11,283
2018-09-12,739
2018-09-13,704
2018-09-14,589
2018-09-17,674
2018-09-18,960
2018-09-19,46
2018-09-20,234
2018-09-21,681
2018-09-24,240
2018-09-25,365
2018-09-26,763
2018-09-27,26
2018-09-28,669
2018-10-01,942
2018-10-02,461
2018-10-03,877
2018-10-04,449
2018-10-05,233
2018-10-08,361
2018-10-09,368
2018-10-10,131
2018-10-11,46
2018-10-12,46
2018-10-15,352
2018-10-16,870
2018-10-17,271
2018-10-18,83
2018-10-19,930
2018-10-22,98
2018-10-23,12
2018-10-24,49
2018-10-25,594
2018-10-26,244
2018-10-29,453
2018-10-30,546
2018-10-31,379
2018-11-01,458
2018-11-02,115
2018-11-05,735
2018-11-06,350
2018-11-07,142
2018-11-08,343
2018-11-09,209
2018-11-12,132
2018-11-13,309
2018-11-14,281
2018-11-15,105
2018-11-16,800
2018-11-19,775
2018-11-20,476
2018-11-21,885
2018-11-22,589
2018-11-23,275
2018-11-26,196
2018-11-27,948
2018-11-28,987
2018-11-29,405
2018-11-30,285
2018-12-03,313
2018-12-04,921
2018-12-05,9
2018-12-06,295
2018-12-07,223
2018-12-10,991
2018-12-11,656
2018-12-12,304
2018-12-13,136
2018-12-14,922
2018-12-17,234
2018-12-18,643
2018-12-19,871
2018-12-20,600
2018-12-21,100
2018-12-24,329
2018-12-25,442
2018-12-26,644
2018-12-27,80
2018-12-28,234
2019-01-04,804
2019-01-07,755
2019-01-08,88
2019-01-09,733
2019-01-10,654
2019-01-11,953
2019-01-14,650
2019-01-15,608
2019-01-16,704
2019-01-17,162
2019-01-18,616
2019-01-21,702
2019-01-22,637
2019-01-23,249
2019-01-24,547
2019-01-25,79
2019-01-28,647
2019-01-29,596
2019-01-30,603
2019-01-31,210
2019-02-01,49
2019-02-04,766
2019-02-05,322
2019-02-06,660
2019-02-07,626
2019-02-08,684
2019-02-11,77
2019-02-12,882
2019-02-13,87
2019-02-14,446
2019-02-15,771
2019-02-18,878
2019-02-19,991
2019-02-20,956
2019-02-21,831
2019-02-22,672
2019-02-25,661
2019-02-26,635
2019-02-27,663
2019-02-28,366
2019-03-01,958
2019-03-04,123
2019-03-05,892
2019-03-06,637
2019-03-07,757
2019-03-08,97
2019-03-11,302
2019-03-12,30
2019-03-13,413
2019-03-14,449
2019-03-15,652
2019-03-18,631
2019-03-19,998
2019-03-20,431
2019-03-21,378
2019-03-22,148
2019-03-25,887
2019-03-26,556
2019-03-27,247
2019-03-28,967
2019-03-29,960
2019-04-01,373
2019-04-02,502
2019-04-03,942
2019-04-04,391
2019-04-05,699
2019-04-08,169
2019-04-09,745
2019-04-10,511
2019-04-11,26
2019-04-12,906
2019-04-15,167
2019-04-16,607
2019-04-17,765
2019-04-18,145
2019-04-19,984
2019-04-22,764
2019-04-23,452
2019-04-24,152
2019-04-25,830
2019-04-26,166
2019-04-29,746
2019-04-30,619
2019-05-01,335
2019-05-02,992
2019-05-03,349
2019-05-06,265
2019-05-07,705
2019-05-08,451
2019-05-09,983
2019-05-10,776
2019-05-13,482
2019-05-14,856
2019-05-15,314
2019-05-16,129
2019-05-17,647
2019-05-20,25
2019-05-21,193
2019-05-22,522
2019-05-23,381
2019-05-24,682
2019-05-27,718
2019-05-28,77
2019-05-29,779
2019-05-30,731
2019-05-31,943
2019-06-03,383
2019-06-04,755
2019-06-05,342
