,x
0,8
1,3
2,9
3,9
4,6
5,2
6,4
7,8
8,3
9,8
10,9
11,9
12,1
13,3
14,0
15,2
16,9
17,4
18,4
19,4
20,5
21,2
22,4
23,1
24,1
25,4
26,9
27,2
28,8
29,3
30,6
31,7
32,9
33,2
34,5
35,3
36,0
37,0
38,3
39,8
40,3
41,7
42,4
43,5
44,0
45,1
46,7
47,4
48,2
49,3
50,2
51,3
52,2
53,1
54,4
55,0
56,9
57,4
58,9
59,8
60,3
61,9
62,6
63,5
64,7
65,3
66,5
67,7
68,0
69,7
70,1
71,7
72,1
73,9
74,9
75,1
76,9
77,7
78,9
79,0
80,3
81,7
82,0
83,4
84,3
85,5
86,1
87,2
88,9
89,0
90,4
91,0
92,6
93,4
94,9
95,8
96,9
97,1
98,5
99,3
100,4
101,5
102,5
103,7
104,6
105,3
106,6
107,1
108,2
109,5
110,6
111,1
112,4
113,1
114,6
115,4
116,7
117,1
118,1
119,9
120,0
121,0
122,5
123,2
124,0
125,7
126,3
127,1
128,4
129,9
130,6
131,8
132,0
133,6
134,2
135,2
136,9
137,1
138,8
139,5
140,0
141,1
142,3
143,9
144,7
145,2
146,2
147,0
148,4
149,9
150,6
151,6
152,0
153,2
154,5
155,8
156,8
157,0
158,3
159,5
160,4
161,1
162,2
163,0
164,3
165,3
166,0
167,3
168,6
169,7
170,9
171,2
172,0
173,3
174,4
175,4
176,5
177,6
178,2
179,7
180,7
181,5
182,6
183,9
184,0
185,2
186,6
187,2
188,3
189,7
190,0
191,6
192,9
193,4
194,8
195,4
196,2
197,3
198,3
199,1
200,0
201,0
202,3
203,8
204,2
205,0
206,9
207,0
208,0
209,0
210,5
211,2
212,4
213,5
214,3
215,4
216,1
217,7
218,3
219,1
220,3
221,2
222,1
223,3
224,2
225,1
226,8
227,7
228,4
229,8
230,5
231,2
232,1
233,9
234,9
235,4
236,2
237,3
238,9
239,0
240,2
241,2
242,9
243,6
244,3
245,1
246,9
247,2
248,6
249,8
250,6
251,1
252,3
253,4
254,6
255,0
256,2
257,8
258,7
259,0
260,7
261,6
262,9
263,6
264,6
265,7
266,1
267,6
268,7
269,6
270,2
271,5
272,0
273,6
274,5
275,6
276,2
277,0
278,7
279,3
280,6
281,6
282,6
283,0
284,8
285,0
286,4
287,7
288,8
289,9
290,9
291,8
292,6
293,6
294,6
295,6
296,3
297,9
298,1
299,8
300,6
301,7
302,0
303,3
304,0
305,4
306,4
307,6
308,6
309,9
310,4
311,3
312,1
313,8
314,5
315,2
316,9
317,9
318,3
319,5
320,9
321,3
322,6
323,1
324,7
325,5
326,0
327,9
328,1
329,6
330,7
331,1
332,9
333,7
334,4
335,1
336,8
337,1
338,7
339,6
340,3
341,9
342,3
343,2
344,7
345,4
346,9
347,7
348,4
349,8
350,3
351,1
352,6
353,0
354,1
355,5
356,3
357,6
358,7
359,0
360,7
361,7
362,9
363,3
364,7
365,3
366,8
367,3
368,8
369,0
370,2
371,5
372,6
373,2
374,0
375,3
376,9
377,1
378,0
379,9
380,7
381,9
382,2
383,9
384,2
385,2
386,9
387,7
388,4
389,7
390,7
391,7
392,2
393,0
394,5
395,0
396,8
397,5
398,0
399,4
400,7
401,0
402,5
403,4
404,1
405,9
406,0
407,7
408,6
409,9
410,9
411,8
412,6
413,5
414,4
415,8
416,5
417,2
418,0
419,5
420,4
421,2
422,6
423,8
424,6
425,2
426,8
427,0
428,9
429,8
430,0
431,7
432,4
433,0
434,5
435,1
436,3
437,9
438,1
439,3
440,7
441,5
442,2
443,8
444,0
445,6
446,8
447,2
448,7
449,5
450,7
451,6
452,7
453,9
454,7
455,3
456,1
457,2
458,1
459,3
460,9
461,8
462,7
463,8
464,1
465,8
466,5
467,1
468,7
469,7
470,9
471,1
472,3
473,4
474,6
475,2
476,6
477,1
478,5
479,9
480,8
481,8
482,8
483,2
484,6
485,3
486,2
487,0
488,9
489,1
490,5
491,4
492,3
493,4
494,2
495,8
496,3
497,6
498,8
499,4
500,2
501,8
502,8
503,4
504,3
505,6
506,6
507,3
508,3
509,0
510,1
511,9
512,4
513,7
514,8
515,1
516,5
517,4
518,7
519,7
520,4
521,5
522,5
523,6
524,4
525,0
526,4
527,3
528,6
529,3
530,0
531,3
532,4
533,4
534,2
535,5
536,1
537,5
538,4
539,5
540,7
541,5
542,1
543,0
544,0
545,3
546,4
547,5
548,2
549,9
550,4
551,5
552,9
553,7
554,8
555,1
556,4
557,0
558,1
559,9
560,3
561,1
562,2
563,5
564,9
565,6
566,7
567,3
568,3
569,0
570,4
571,5
572,9
573,9
574,5
575,7
576,1
577,0
578,8
579,6
580,2
581,9
582,5
583,1
584,6
585,9
586,9
587,0
588,3
589,9
590,8
591,4
592,8
593,6
594,8
595,8
596,4
597,0
598,8
599,5
600,8
601,3
602,0
603,2
604,8
605,9
606,8
607,7
608,3
609,8
610,1
611,7
612,6
613,4
614,6
615,1
616,5
617,3
618,8
619,5
620,2
621,6
622,4
623,8
624,5
625,7
626,7
627,3
628,0
629,7
630,8
631,1
632,3
633,7
634,1
635,9
636,5
637,9
638,7
639,8
640,2
641,3
642,5
643,4
644,3
645,1
646,0
647,3
648,9
649,1
650,7
651,6
652,6
653,6
654,3
655,3
656,6
657,0
658,2
659,4
660,0
661,9
662,5
663,1
664,0
665,1
666,2
667,7
668,3
669,6
670,8
671,6
672,9
673,1
674,9
675,8
676,8
677,6
678,5
679,3
680,2
681,6
682,2
683,9
684,4
685,8
686,9
687,7
688,4
689,7
690,9
691,4
692,8
693,1
694,0
695,8
696,9
697,3
698,4
699,2
700,2
701,3
702,6
703,0
704,9
705,9
706,1
707,6
708,0
709,1
710,4
711,9
712,2
713,8
714,9
715,3
716,4
717,6
718,6
719,8
720,9
721,7
722,1
723,8
724,9
725,1
726,8
727,4
728,4
729,7
730,2
731,3
732,9
733,4
734,1
735,2
736,2
737,4
738,9
739,8
740,1
741,3
742,0
743,3
744,0
745,9
746,9
747,1
748,2
749,5
750,6
751,7
752,2
753,2
754,3
755,8
756,6
757,8
758,8
759,6
760,3
761,3
762,7
763,0
764,4
765,6
766,4
767,3
768,5
769,9
770,4
771,0
772,4
773,7
774,3
775,7
776,2
777,0
778,1
779,5
780,0
781,7
782,2
783,3
784,2
785,9
786,6
787,1
788,2
789,6
790,9
791,6
792,5
793,5
794,3
795,7
796,2
797,3
798,4
799,8
800,6
801,0
802,7
803,7
804,0
805,9
806,1
807,1
808,8
809,3
810,9
811,2
812,2
813,9
814,2
815,9
816,8
817,0
818,8
819,5
820,7
821,7
822,3
823,6
824,8
825,3
826,9
827,0
828,3
829,8
830,5
831,0
832,5
833,5
834,9
835,6
836,9
837,4
838,0
839,7
840,6
841,6
842,1
843,1
844,6
845,0
846,6
847,7
848,5
849,2
850,1
851,7
852,1
853,0
854,5
855,7
856,0
857,9
858,4
859,7
860,4
861,0
862,8
863,7
864,2
865,9
866,8
867,6
868,2
869,8
870,1
871,1
872,0
873,3
874,5
875,6
876,2
877,4
878,1
879,9
880,6
881,2
882,1
883,8
884,7
885,7
886,6
887,9
888,1
889,5
890,0
891,7
892,3
893,4
894,8
895,1
896,0
897,4
898,7
899,3
900,4
901,7
902,5
903,6
904,8
905,7
906,2
907,7
908,2
909,7
910,9
911,0
912,4
913,9
914,8
915,7
916,3
917,3
918,5
919,6
920,7
921,7
922,2
923,2
924,6
925,3
926,1
927,4
928,5
929,2
930,7
931,7
932,7
933,6
934,1
935,0
936,8
937,1
938,8
939,7
940,9
941,4
942,4
943,3
944,5
945,9
946,0
947,5
948,0
949,5
950,9
951,9
952,0
953,4
954,0
955,6
956,7
957,7
958,1
959,7
960,9
961,2
962,2
963,2
964,6
965,6
966,9
967,8
968,0
969,6
970,7
971,0
972,4
973,4
974,6
975,0
976,9
977,5
978,4
979,3
980,7
981,4
982,9
983,4
984,4
985,1
986,2
987,0
988,2
989,1
990,0
991,1
992,5
993,0
994,9
995,7
996,6
997,2
998,3
999,9
1000,8
1001,5
1002,3
1003,5
1004,4
1005,3
1006,9
1007,9
1008,8
