date,Lottery_result,year,Num,5year,2018,2019,2020,2021,2022,2018,2019,2020,2021,2022,max
2018/1/4,858,2018,000,2,0,0,1,1,0,257,257,258,259,259,
2018/1/5,384,2018,001,1,1,0,0,0,0,257,257,258,259,259,
2018/1/8,976,2018,002,3,1,0,1,0,1,3,3,2,3,4,
2018/1/9,930,2018,003,1,0,0,0,1,0,,,,,,
2018/1/10,634,2018,004,0,0,0,0,0,0,,,,,,
2018/1/11,223,2018,005,1,0,0,1,0,0,,,,,,
2018/1/12,413,2018,006,1,0,0,1,0,0,,,,,,
2018/1/15,881,2018,007,1,0,0,0,0,1,,,,,,
2018/1/16,368,2018,008,2,0,0,1,0,1,,,,,,
2018/1/17,873,2018,009,4,1,1,1,0,1,,,,,,
2018/1/18,916,2018,010,2,0,0,2,0,0,,,,,,
2018/1/19,955,2018,011,1,0,1,0,0,0,,,,,,
2018/1/22,122,2018,012,2,1,1,0,0,0,,,,,,
2018/1/23,327,2018,013,1,0,0,1,0,0,,,,,,
2018/1/24,92,2018,014,1,0,0,1,0,0,,,,,,
2018/1/25,282,2018,015,0,0,0,0,0,0,,,,,,
2018/1/26,956,2018,016,2,1,0,0,1,0,,,,,,
2018/1/29,415,2018,017,1,0,0,1,0,0,,,,,,
2018/1/30,432,2018,018,1,1,0,0,0,0,,,,,,
2018/1/31,437,2018,019,1,0,0,0,1,0,,,,,,
2018/2/1,546,2018,020,2,0,0,0,1,1,,,,,,
2018/2/2,291,2018,021,0,0,0,0,0,0,,,,,,
2018/2/5,461,2018,022,0,0,0,0,0,0,,,,,,
2018/2/6,139,2018,023,0,0,0,0,0,0,,,,,,
2018/2/7,138,2018,024,2,0,0,1,1,0,,,,,,
2018/2/8,448,2018,025,1,0,1,0,0,0,,,,,,
2018/2/9,936,2018,026,2,1,1,0,0,0,,,,,,
2018/2/12,221,2018,027,0,0,0,0,0,0,,,,,,
2018/2/13,876,2018,028,1,0,0,0,0,1,,,,,,
2018/2/14,347,2018,029,1,1,0,0,0,0,,,,,,
2018/2/15,631,2018,030,4,1,1,0,0,2,,,,,,
2018/2/16,725,2018,031,1,0,0,0,0,1,,,,,,
2018/2/19,949,2018,032,3,1,1,0,1,0,,,,,,
2018/2/20,271,2018,033,3,0,0,1,1,1,,,,,,
2018/2/21,545,2018,034,1,0,0,0,1,0,,,,,,
2018/2/22,320,2018,035,1,0,0,0,0,1,,,,,,
2018/2/23,60,2018,036,0,0,0,0,0,0,,,,,,
2018/2/26,60,2018,037,1,1,0,0,0,0,,,,,,
2018/2/27,350,2018,038,0,0,0,0,0,0,,,,,,
2018/2/28,839,2018,039,0,0,0,0,0,0,,,,,,
2018/3/1,382,2018,040,4,0,0,2,1,1,,,,,,
2018/3/2,776,2018,041,0,0,0,0,0,0,,,,,,
2018/3/5,411,2018,042,2,0,1,0,1,0,,,,,,
2018/3/6,586,2018,043,2,0,1,0,0,1,,,,,,
2018/3/7,45,2018,044,1,0,0,0,0,1,,,,,,
2018/3/8,123,2018,045,2,2,0,0,0,0,,,,,,
2018/3/9,720,2018,046,5,3,0,1,0,1,,,,,,
2018/3/12,497,2018,047,3,1,1,0,0,1,,,,,,
2018/3/13,243,2018,048,2,0,0,0,1,1,,,,,,
2018/3/14,363,2018,049,2,1,1,0,0,0,,,,,,
2018/3/15,236,2018,050,2,0,0,0,2,0,,,,,,
2018/3/16,399,2018,051,2,1,0,0,1,0,,,,,,
2018/3/19,217,2018,052,1,0,0,0,1,0,,,,,,
2018/3/20,118,2018,053,3,0,0,0,3,0,,,,,,
2018/3/21,486,2018,054,2,0,0,1,0,1,,,,,,
2018/3/22,29,2018,055,1,0,1,0,0,0,,,,,,
2018/3/23,900,2018,056,0,0,0,0,0,0,,,,,,
2018/3/26,484,2018,057,0,0,0,0,0,0,,,,,,
2018/3/27,905,2018,058,0,0,0,0,0,0,,,,,,
2018/3/28,800,2018,059,1,0,0,0,1,0,,,,,,
2018/3/29,339,2018,060,4,2,1,0,0,1,,,,,,
2018/3/30,950,2018,061,1,1,0,0,0,0,,,,,,
2018/4/2,684,2018,062,0,0,0,0,0,0,,,,,,
2018/4/3,507,2018,063,2,0,0,1,1,0,,,,,,
2018/4/4,750,2018,064,1,0,1,0,0,0,,,,,,
2018/4/5,352,2018,065,1,0,0,0,0,1,,,,,,
2018/4/6,516,2018,066,0,0,0,0,0,0,,,,,,
2018/4/9,760,2018,067,0,0,0,0,0,0,,,,,,
2018/4/10,16,2018,068,1,0,0,0,1,0,,,,,,
2018/4/11,759,2018,069,4,1,1,1,1,0,,,,,,
2018/4/12,196,2018,070,0,0,0,0,0,0,,,,,,
2018/4/13,775,2018,071,1,0,0,0,1,0,,,,,,
2018/4/16,118,2018,072,0,0,0,0,0,0,,,,,,
2018/4/17,993,2018,073,1,0,0,1,0,0,,,,,,
2018/4/18,984,2018,074,1,0,0,0,1,0,,,,,,
2018/4/19,159,2018,075,2,1,0,0,1,0,,,,,,
2018/4/20,955,2018,076,0,0,0,0,0,0,,,,,,
2018/4/23,716,2018,077,2,0,2,0,0,0,,,,,,
2018/4/24,936,2018,078,2,1,0,1,0,0,,,,,,
2018/4/25,81,2018,079,3,0,3,0,0,0,,,,,,
2018/4/26,355,2018,080,2,1,1,0,0,0,,,,,,
2018/4/27,714,2018,081,1,1,0,0,0,0,,,,,,
2018/4/30,2,2018,082,0,0,0,0,0,0,,,,,,
