No,date,Lottery_result,Thousands,hundreds_place,tens_place,ones_place
1,2026/1/5,7526,7,5,2,6
2,2026/1/6,2300,2,3,0,0
3,2026/1/7,7263,7,2,6,3
4,2026/1/8,1632,1,6,3,2
5,2026/1/9,6551,6,5,5,1
6,2026/1/12,2827,2,8,2,7
7,2026/1/13,2699,2,6,9,9
8,2026/1/14,2404,2,4,0,4
9,2026/1/15,8060,8,0,6,0
10,2026/1/16,6436,6,4,3,6
11,2026/1/19,8174,8,1,7,4
12,2026/1/20,9534,9,5,3,4
13,2026/1/21,0615,0,6,1,5
14,2026/1/22,6022,6,0,2,2
15,2026/1/23,0515,0,5,1,5
16,2026/1/26,0176,0,1,7,6
17,2026/1/27,7964,7,9,6,4
18,2026/1/28,4588,4,5,8,8
19,2026/1/29,6120,6,1,2,0
20,2026/1/30,9827,9,8,2,7
21,2026/2/2,9945,9,9,4,5
22,2026/2/3,3727,3,7,2,7
23,2026/2/4,3834,3,8,3,4
24,2026/2/5,5517,5,5,1,7
25,2026/2/6,6403,6,4,0,3
26,2026/2/9,3798,3,7,9,8
27,2026/2/10,3395,3,3,9,5
28,2026/2/11,7896,7,8,9,6
29,2026/2/12,5004,5,0,0,4
30,2026/2/13,6376,6,3,7,6
31,2026/2/16,6978,6,9,7,8
32,2026/2/17,0505,0,5,0,5
33,2026/2/18,8440,8,4,4,0
34,2026/2/19,9166,9,1,6,6
35,2026/2/20,3115,3,1,1,5
36,2026/2/23,2476,2,4,7,6
37,2026/2/24,9508,9,5,0,8
38,2026/2/25,1918,1,9,1,8
39,2026/2/26,3099,3,0,9,9
40,2026/2/27,2586,2,5,8,6
41,2026/3/2,7626,7,6,2,6
42,2026/3/3,9087,9,0,8,7
43,2026/3/4,8404,8,4,0,4
44,2026/3/5,2852,2,8,5,2
45,2026/3/6,7592,7,5,9,2
46,2026/3/9,4819,4,8,1,9
47,2026/3/10,2631,2,6,3,1
48,2026/3/11,6092,6,0,9,2
49,2026/3/12,9420,9,4,2,0
50,2026/3/13,0247,0,2,4,7
51,2026/3/16,3421,3,4,2,1
52,2026/3/17,2295,2,2,9,5
53,2026/3/18,6449,6,4,4,9
54,2026/3/19,6454,6,4,5,4
55,2026/3/20,9781,9,7,8,1
56,2026/3/23,3851,3,8,5,1
57,2026/3/24,9577,9,5,7,7
58,2026/3/25,5452,5,4,5,2
