No,date,Lottery_result,Thousands,hundreds_place,tens_place,ones_place,Next_result
1,2018-01-04,5319,5,3,1,9,6489
2,2018-01-05,6489,6,4,8,9,5346
3,2018-01-08,5346,5,3,4,6,9751
4,2018-01-09,9751,9,7,5,1,1523
5,2018-01-10,1523,1,5,2,3,5820
6,2018-01-11,5820,5,8,2,0,7751
7,2018-01-12,7751,7,7,5,1,6605
8,2018-01-15,6605,6,6,0,5,5564
9,2018-01-16,5564,5,5,6,4,3506
10,2018-01-17,3506,3,5,0,6,6110
11,2018-01-18,6110,6,1,1,0,3027
12,2018-01-19,3027,3,0,2,7,3146
13,2018-01-22,3146,3,1,4,6,341
14,2018-01-23,341,0,3,4,1,6443
15,2018-01-24,6443,6,4,4,3,571
16,2018-01-25,571,0,5,7,1,8334
17,2018-01-26,8334,8,3,3,4,9016
18,2018-01-29,9016,9,0,1,6,4945
19,2018-01-30,4945,4,9,4,5,4148
20,2018-01-31,4148,4,1,4,8,7163
21,2018-02-01,7163,7,1,6,3,8905
22,2018-02-02,8905,8,9,0,5,2859
23,2018-02-05,2859,2,8,5,9,2666
24,2018-02-06,2666,2,6,6,6,2864
25,2018-02-07,2864,2,8,6,4,2675
26,2018-02-08,2675,2,6,7,5,9600
27,2018-02-09,9600,9,6,0,0,9246
28,2018-02-12,9246,9,2,4,6,1509
29,2018-02-13,1509,1,5,0,9,6647
30,2018-02-14,6647,6,6,4,7,3275
31,2018-02-15,3275,3,2,7,5,1540
32,2018-02-16,1540,1,5,4,0,5550
33,2018-02-19,5550,5,5,5,0,4687
34,2018-02-20,4687,4,6,8,7,8987
35,2018-02-21,8987,8,9,8,7,2979
36,2018-02-22,2979,2,9,7,9,757
37,2018-02-23,757,0,7,5,7,5510
38,2018-02-26,5510,5,5,1,0,7336
39,2018-02-27,7336,7,3,3,6,626
40,2018-02-28,626,0,6,2,6,5061
41,2018-03-01,5061,5,0,6,1,1107
42,2018-03-02,1107,1,1,0,7,6976
43,2018-03-05,6976,6,9,7,6,3501
44,2018-03-06,3501,3,5,0,1,8083
45,2018-03-07,8083,8,0,8,3,7475
46,2018-03-08,7475,7,4,7,5,3159
47,2018-03-09,3159,3,1,5,9,1028
48,2018-03-12,1028,1,0,2,8,5193
49,2018-03-13,5193,5,1,9,3,5563
50,2018-03-14,5563,5,5,6,3,6566
51,2018-03-15,6566,6,5,6,6,15
52,2018-03-16,15,0,0,1,5,5637
53,2018-03-19,5637,5,6,3,7,5593
54,2018-03-20,5593,5,5,9,3,4378
55,2018-03-21,4378,4,3,7,8,662
56,2018-03-22,662,0,6,6,2,2752
57,2018-03-23,2752,2,7,5,2,9923
58,2018-03-26,9923,9,9,2,3,4445
59,2018-03-27,4445,4,4,4,5,6562
60,2018-03-28,6562,6,5,6,2,8823
61,2018-03-29,8823,8,8,2,3,5424
62,2018-03-30,5424,5,4,2,4,9304
63,2018-04-02,9304,9,3,0,4,3794
64,2018-04-03,3794,3,7,9,4,4950
65,2018-04-04,4950,4,9,5,0,3940
66,2018-04-05,3940,3,9,4,0,2896
67,2018-04-06,2896,2,8,9,6,4115
68,2018-04-09,4115,4,1,1,5,6359
69,2018-04-10,6359,6,3,5,9,8549
70,2018-04-11,8549,8,5,4,9,6818
71,2018-04-12,6818,6,8,1,8,2560
72,2018-04-13,2560,2,5,6,0,9991
73,2018-04-16,9991,9,9,9,1,8323
74,2018-04-17,8323,8,3,2,3,593
75,2018-04-18,593,0,5,9,3,2166
76,2018-04-19,2166,2,1,6,6,9161
77,2018-04-20,9161,9,1,6,1,1125
78,2018-04-23,1125,1,1,2,5,35
79,2018-04-24,35,0,0,3,5,4198
80,2018-04-25,4198,4,1,9,8,796
81,2018-04-26,796,0,7,9,6,9631
82,2018-04-27,9631,9,6,3,1,9814
83,2018-04-30,9814,9,8,1,4,6951
84,2018-05-01,6951,6,9,5,1,5135
85,2018-05-02,5135,5,1,3,5,6884
86,2018-05-03,6884,6,8,8,4,5507
87,2018-05-04,5507,5,5,0,7,4336
88,2018-05-07,4336,4,3,3,6,5108
89,2018-05-08,5108,5,1,0,8,8670
90,2018-05-09,8670,8,6,7,0,7807
91,2018-05-10,7807,7,8,0,7,8659
92,2018-05-11,8659,8,6,5,9,6485
93,2018-05-14,6485,6,4,8,5,6515
94,2018-05-15,6515,6,5,1,5,1143
95,2018-05-16,1143,1,1,4,3,8202
96,2018-05-17,8202,8,2,0,2,5468
97,2018-05-18,5468,5,4,6,8,3636
98,2018-05-21,3636,3,6,3,6,621
99,2018-05-22,621,0,6,2,1,5297
100,2018-05-23,5297,5,2,9,7,8310
101,2018-05-24,8310,8,3,1,0,621
102,2018-05-25,621,0,6,2,1,9095
103,2018-05-28,9095,9,0,9,5,4696
104,2018-05-29,4696,4,6,9,6,2307
105,2018-05-30,2307,2,3,0,7,1641
106,2018-05-31,1641,1,6,4,1,3031
107,2018-06-01,3031,3,0,3,1,411
108,2018-06-04,411,0,4,1,1,8009
109,2018-06-05,8009,8,0,0,9,2374
110,2018-06-06,2374,2,3,7,4,5382
111,2018-06-07,5382,5,3,8,2,5935
112,2018-06-08,5935,5,9,3,5,3076
113,2018-06-11,3076,3,0,7,6,6657
114,2018-06-12,6657,6,6,5,7,7993
115,2018-06-13,7993,7,9,9,3,5121
116,2018-06-14,5121,5,1,2,1,7711
117,2018-06-15,7711,7,7,1,1,4113
118,2018-06-18,4113,4,1,1,3,1762
119,2018-06-19,1762,1,7,6,2,2309
120,2018-06-20,2309,2,3,0,9,4698
121,2018-06-21,4698,4,6,9,8,9473
122,2018-06-22,9473,9,4,7,3,2079
123,2018-06-25,2079,2,0,7,9,2154
124,2018-06-26,2154,2,1,5,4,185
125,2018-06-27,185,0,1,8,5,7693
126,2018-06-28,7693,7,6,9,3,7835
127,2018-06-29,7835,7,8,3,5,6807
128,2018-07-02,6807,6,8,0,7,6830
129,2018-07-03,6830,6,8,3,0,6894
130,2018-07-04,6894,6,8,9,4,8943
131,2018-07-05,8943,8,9,4,3,7278
132,2018-07-06,7278,7,2,7,8,5452
133,2018-07-09,5452,5,4,5,2,3155
134,2018-07-10,3155,3,1,5,5,2336
135,2018-07-11,2336,2,3,3,6,555
136,2018-07-12,555,0,5,5,5,1963
137,2018-07-13,1963,1,9,6,3,6817
138,2018-07-16,6817,6,8,1,7,8652
139,2018-07-17,8652,8,6,5,2,7908
140,2018-07-18,7908,7,9,0,8,774
141,2018-07-19,774,0,7,7,4,4061
142,2018-07-20,4061,4,0,6,1,8827
143,2018-07-23,8827,8,8,2,7,3127
144,2018-07-24,3127,3,1,2,7,2850
145,2018-07-25,2850,2,8,5,0,9125
146,2018-07-26,9125,9,1,2,5,7015
147,2018-07-27,7015,7,0,1,5,2120
148,2018-07-30,2120,2,1,2,0,7706
149,2018-07-31,7706,7,7,0,6,1776
150,2018-08-01,1776,1,7,7,6,2323
151,2018-08-02,2323,2,3,2,3,8989
152,2018-08-03,8989,8,9,8,9,1265
153,2018-08-06,1265,1,2,6,5,8946
154,2018-08-07,8946,8,9,4,6,278
155,2018-08-08,278,0,2,7,8,7212
156,2018-08-09,7212,7,2,1,2,2355
157,2018-08-10,2355,2,3,5,5,6376
158,2018-08-13,6376,6,3,7,6,6563
159,2018-08-14,6563,6,5,6,3,7870
160,2018-08-15,7870,7,8,7,0,7395
161,2018-08-16,7395,7,3,9,5,4838
162,2018-08-17,4838,4,8,3,8,5136
163,2018-08-20,5136,5,1,3,6,4411
164,2018-08-21,4411,4,4,1,1,4651
165,2018-08-22,4651,4,6,5,1,4820
166,2018-08-23,4820,4,8,2,0,6673
167,2018-08-24,6673,6,6,7,3,5950
168,2018-08-27,5950,5,9,5,0,3646
169,2018-08-28,3646,3,6,4,6,7005
170,2018-08-29,7005,7,0,0,5,5464
171,2018-08-30,5464,5,4,6,4,7319
172,2018-08-31,7319,7,3,1,9,659
173,2018-09-03,659,0,6,5,9,2814
174,2018-09-04,2814,2,8,1,4,181
175,2018-09-05,181,0,1,8,1,2906
176,2018-09-06,2906,2,9,0,6,6006
177,2018-09-07,6006,6,0,0,6,9054
178,2018-09-10,9054,9,0,5,4,8823
179,2018-09-11,8823,8,8,2,3,8008
180,2018-09-12,8008,8,0,0,8,8677
181,2018-09-13,8677,8,6,7,7,6159
182,2018-09-14,6159,6,1,5,9,8088
183,2018-09-17,8088,8,0,8,8,4045
184,2018-09-18,4045,4,0,4,5,9052
185,2018-09-19,9052,9,0,5,2,6804
186,2018-09-20,6804,6,8,0,4,8691
187,2018-09-21,8691,8,6,9,1,1824
188,2018-09-24,1824,1,8,2,4,887
189,2018-09-25,887,0,8,8,7,1894
190,2018-09-26,1894,1,8,9,4,5457
191,2018-09-27,5457,5,4,5,7,973
192,2018-09-28,973,0,9,7,3,3331
193,2018-10-01,3331,3,3,3,1,6709
194,2018-10-02,6709,6,7,0,9,3268
195,2018-10-03,3268,3,2,6,8,7598
196,2018-10-04,7598,7,5,9,8,7964
197,2018-10-05,7964,7,9,6,4,6401
198,2018-10-08,6401,6,4,0,1,2536
199,2018-10-09,2536,2,5,3,6,222
200,2018-10-10,222,0,2,2,2,2742
201,2018-10-11,2742,2,7,4,2,6371
202,2018-10-12,6371,6,3,7,1,7978
203,2018-10-15,7978,7,9,7,8,8342
204,2018-10-16,8342,8,3,4,2,3009
205,2018-10-17,3009,3,0,0,9,8879
206,2018-10-18,8879,8,8,7,9,5834
207,2018-10-19,5834,5,8,3,4,7104
208,2018-10-22,7104,7,1,0,4,2475
209,2018-10-23,2475,2,4,7,5,6768
210,2018-10-24,6768,6,7,6,8,5804
211,2018-10-25,5804,5,8,0,4,4399
212,2018-10-26,4399,4,3,9,9,4157
213,2018-10-29,4157,4,1,5,7,2909
214,2018-10-30,2909,2,9,0,9,2068
215,2018-10-31,2068,2,0,6,8,2290
216,2018-11-01,2290,2,2,9,0,5444
217,2018-11-02,5444,5,4,4,4,6009
218,2018-11-05,6009,6,0,0,9,3709
219,2018-11-06,3709,3,7,0,9,8931
220,2018-11-07,8931,8,9,3,1,7759
221,2018-11-08,7759,7,7,5,9,8407
222,2018-11-09,8407,8,4,0,7,5175
223,2018-11-12,5175,5,1,7,5,9404
224,2018-11-13,9404,9,4,0,4,2901
225,2018-11-14,2901,2,9,0,1,6456
226,2018-11-15,6456,6,4,5,6,3743
227,2018-11-16,3743,3,7,4,3,8590
228,2018-11-19,8590,8,5,9,0,9611
229,2018-11-20,9611,9,6,1,1,4959
230,2018-11-21,4959,4,9,5,9,3501
231,2018-11-22,3501,3,5,0,1,8309
232,2018-11-23,8309,8,3,0,9,8038
233,2018-11-26,8038,8,0,3,8,2945
234,2018-11-27,2945,2,9,4,5,4460
235,2018-11-28,4460,4,4,6,0,3789
236,2018-11-29,3789,3,7,8,9,5479
237,2018-11-30,5479,5,4,7,9,8323
238,2018-12-03,8323,8,3,2,3,7127
239,2018-12-04,7127,7,1,2,7,6135
240,2018-12-05,6135,6,1,3,5,6525
241,2018-12-06,6525,6,5,2,5,5785
242,2018-12-07,5785,5,7,8,5,2621
243,2018-12-10,2621,2,6,2,1,3299
244,2018-12-11,3299,3,2,9,9,5384
245,2018-12-12,5384,5,3,8,4,1350
246,2018-12-13,1350,1,3,5,0,5853
247,2018-12-14,5853,5,8,5,3,8564
248,2018-12-17,8564,8,5,6,4,5146
249,2018-12-18,5146,5,1,4,6,9225
250,2018-12-19,9225,9,2,2,5,5575
251,2018-12-20,5575,5,5,7,5,6828
252,2018-12-21,6828,6,8,2,8,1631
253,2018-12-24,1631,1,6,3,1,3724
254,2018-12-25,3724,3,7,2,4,2822
255,2018-12-26,2822,2,8,2,2,3002
256,2018-12-27,3002,3,0,0,2,5231
257,2018-12-28,5231,5,2,3,1,5939
1,2019-01-04,5939,5,9,3,9,9061
2,2019-01-07,9061,9,0,6,1,3611
3,2019-01-08,3611,3,6,1,1,5275
4,2019-01-09,5275,5,2,7,5,9075
5,2019-01-10,9075,9,0,7,5,8011
6,2019-01-11,8011,8,0,1,1,9921
7,2019-01-14,9921,9,9,2,1,9670
8,2019-01-15,9670,9,6,7,0,294
9,2019-01-16,294,0,2,9,4,1979
10,2019-01-17,1979,1,9,7,9,7632
11,2019-01-18,7632,7,6,3,2,2125
12,2019-01-21,2125,2,1,2,5,2789
13,2019-01-22,2789,2,7,8,9,3142
14,2019-01-23,3142,3,1,4,2,3345
15,2019-01-24,3345,3,3,4,5,7632
16,2019-01-25,7632,7,6,3,2,2835
17,2019-01-28,2835,2,8,3,5,4361
18,2019-01-29,4361,4,3,6,1,1980
19,2019-01-30,1980,1,9,8,0,9845
20,2019-01-31,9845,9,8,4,5,3274
21,2019-02-01,3274,3,2,7,4,8661
22,2019-02-04,8661,8,6,6,1,5196
23,2019-02-05,5196,5,1,9,6,2811
24,2019-02-06,2811,2,8,1,1,6537
25,2019-02-07,6537,6,5,3,7,1996
26,2019-02-08,1996,1,9,9,6,4304
27,2019-02-11,4304,4,3,0,4,7771
28,2019-02-12,7771,7,7,7,1,4259
29,2019-02-13,4259,4,2,5,9,4072
30,2019-02-14,4072,4,0,7,2,359
31,2019-02-15,359,0,3,5,9,1906
32,2019-02-18,1906,1,9,0,6,8370
33,2019-02-19,8370,8,3,7,0,952
34,2019-02-20,952,0,9,5,2,9572
35,2019-02-21,9572,9,5,7,2,4397
36,2019-02-22,4397,4,3,9,7,5406
37,2019-02-25,5406,5,4,0,6,2133
38,2019-02-26,2133,2,1,3,3,2515
39,2019-02-27,2515,2,5,1,5,5717
40,2019-02-28,5717,5,7,1,7,5667
41,2019-03-01,5667,5,6,6,7,7315
42,2019-03-04,7315,7,3,1,5,2002
43,2019-03-05,2002,2,0,0,2,1610
44,2019-03-06,1610,1,6,1,0,4047
45,2019-03-07,4047,4,0,4,7,5292
46,2019-03-08,5292,5,2,9,2,7525
47,2019-03-11,7525,7,5,2,5,1625
48,2019-03-12,1625,1,6,2,5,3718
49,2019-03-13,3718,3,7,1,8,2392
50,2019-03-14,2392,2,3,9,2,5728
51,2019-03-15,5728,5,7,2,8,4945
52,2019-03-18,4945,4,9,4,5,6998
53,2019-03-19,6998,6,9,9,8,2702
54,2019-03-20,2702,2,7,0,2,905
55,2019-03-21,905,0,9,0,5,8719
56,2019-03-22,8719,8,7,1,9,4172
57,2019-03-25,4172,4,1,7,2,1871
58,2019-03-26,1871,1,8,7,1,1785
59,2019-03-27,1785,1,7,8,5,4886
60,2019-03-28,4886,4,8,8,6,1083
61,2019-03-29,1083,1,0,8,3,4001
62,2019-04-01,4001,4,0,0,1,8811
63,2019-04-02,8811,8,8,1,1,9229
64,2019-04-03,9229,9,2,2,9,1200
65,2019-04-04,1200,1,2,0,0,9688
66,2019-04-05,9688,9,6,8,8,8391
67,2019-04-08,8391,8,3,9,1,4889
68,2019-04-09,4889,4,8,8,9,4289
69,2019-04-10,4289,4,2,8,9,7670
70,2019-04-11,7670,7,6,7,0,431
71,2019-04-12,431,0,4,3,1,7267
72,2019-04-15,7267,7,2,6,7,8597
73,2019-04-16,8597,8,5,9,7,7206
74,2019-04-17,7206,7,2,0,6,3048
75,2019-04-18,3048,3,0,4,8,1392
76,2019-04-19,1392,1,3,9,2,6352
77,2019-04-22,6352,6,3,5,2,6924
78,2019-04-23,6924,6,9,2,4,9916
79,2019-04-24,9916,9,9,1,6,7682
80,2019-04-25,7682,7,6,8,2,9204
81,2019-04-26,9204,9,2,0,4,2636
82,2019-04-29,2636,2,6,3,6,331
83,2019-04-30,331,0,3,3,1,6703
84,2019-05-01,6703,6,7,0,3,423
85,2019-05-02,423,0,4,2,3,5637
86,2019-05-03,5637,5,6,3,7,1275
87,2019-05-06,1275,1,2,7,5,8547
88,2019-05-07,8547,8,5,4,7,7802
89,2019-05-08,7802,7,8,0,2,6251
90,2019-05-09,6251,6,2,5,1,10
91,2019-05-10,10,0,0,1,0,2780
92,2019-05-13,2780,2,7,8,0,9141
93,2019-05-14,9141,9,1,4,1,4143
94,2019-05-15,4143,4,1,4,3,4388
95,2019-05-16,4388,4,3,8,8,9254
96,2019-05-17,9254,9,2,5,4,5090
97,2019-05-20,5090,5,0,9,0,1177
98,2019-05-21,1177,1,1,7,7,7254
99,2019-05-22,7254,7,2,5,4,1312
100,2019-05-23,1312,1,3,1,2,3037
101,2019-05-24,3037,3,0,3,7,7912
102,2019-05-27,7912,7,9,1,2,3602
103,2019-05-28,3602,3,6,0,2,8447
104,2019-05-29,8447,8,4,4,7,3690
105,2019-05-30,3690,3,6,9,0,146
106,2019-05-31,146,0,1,4,6,9555
107,2019-06-03,9555,9,5,5,5,3481
108,2019-06-04,3481,3,4,8,1,4571
109,2019-06-05,4571,4,5,7,1,8113
110,2019-06-06,8113,8,1,1,3,777
111,2019-06-07,777,0,7,7,7,1448
112,2019-06-10,1448,1,4,4,8,3201
113,2019-06-11,3201,3,2,0,1,5879
114,2019-06-12,5879,5,8,7,9,5318
115,2019-06-13,5318,5,3,1,8,9674
116,2019-06-14,9674,9,6,7,4,4322
117,2019-06-17,4322,4,3,2,2,4333
118,2019-06-18,4333,4,3,3,3,4743
119,2019-06-19,4743,4,7,4,3,602
120,2019-06-20,602,0,6,0,2,2880
121,2019-06-21,2880,2,8,8,0,3658
122,2019-06-24,3658,3,6,5,8,6616
123,2019-06-25,6616,6,6,1,6,5749
124,2019-06-26,5749,5,7,4,9,4825
125,2019-06-27,4825,4,8,2,5,1790
126,2019-06-28,1790,1,7,9,0,7116
127,2019-07-01,7116,7,1,1,6,7286
128,2019-07-02,7286,7,2,8,6,8349
129,2019-07-03,8349,8,3,4,9,7193
130,2019-07-04,7193,7,1,9,3,2571
131,2019-07-05,2571,2,5,7,1,1032
132,2019-07-08,1032,1,0,3,2,4945
133,2019-07-09,4945,4,9,4,5,3799
134,2019-07-10,3799,3,7,9,9,3742
135,2019-07-11,3742,3,7,4,2,2504
136,2019-07-12,2504,2,5,0,4,6545
137,2019-07-15,6545,6,5,4,5,8506
138,2019-07-16,8506,8,5,0,6,5572
139,2019-07-17,5572,5,5,7,2,502
140,2019-07-18,502,0,5,0,2,7795
141,2019-07-19,7795,7,7,9,5,7211
142,2019-07-22,7211,7,2,1,1,7782
143,2019-07-23,7782,7,7,8,2,2134
144,2019-07-24,2134,2,1,3,4,5215
145,2019-07-25,5215,5,2,1,5,2791
146,2019-07-26,2791,2,7,9,1,3442
147,2019-07-29,3442,3,4,4,2,2447
148,2019-07-30,2447,2,4,4,7,7846
149,2019-07-31,7846,7,8,4,6,2945
150,2019-08-01,2945,2,9,4,5,1575
151,2019-08-02,1575,1,5,7,5,1055
152,2019-08-05,1055,1,0,5,5,6385
153,2019-08-06,6385,6,3,8,5,5223
154,2019-08-07,5223,5,2,2,3,2188
155,2019-08-08,2188,2,1,8,8,8637
156,2019-08-09,8637,8,6,3,7,9036
157,2019-08-12,9036,9,0,3,6,8199
158,2019-08-13,8199,8,1,9,9,6196
159,2019-08-14,6196,6,1,9,6,387
160,2019-08-15,387,0,3,8,7,4305
161,2019-08-16,4305,4,3,0,5,8440
162,2019-08-19,8440,8,4,4,0,8604
163,2019-08-20,8604,8,6,0,4,9259
164,2019-08-21,9259,9,2,5,9,6550
165,2019-08-22,6550,6,5,5,0,9223
166,2019-08-23,9223,9,2,2,3,6479
167,2019-08-26,6479,6,4,7,9,7206
168,2019-08-27,7206,7,2,0,6,9083
169,2019-08-28,9083,9,0,8,3,1616
170,2019-08-29,1616,1,6,1,6,2200
171,2019-08-30,2200,2,2,0,0,9854
172,2019-09-02,9854,9,8,5,4,7521
173,2019-09-03,7521,7,5,2,1,2076
174,2019-09-04,2076,2,0,7,6,1528
175,2019-09-05,1528,1,5,2,8,8216
176,2019-09-06,8216,8,2,1,6,7567
177,2019-09-09,7567,7,5,6,7,9304
178,2019-09-10,9304,9,3,0,4,4765
179,2019-09-11,4765,4,7,6,5,411
180,2019-09-12,411,0,4,1,1,5420
181,2019-09-13,5420,5,4,2,0,5043
182,2019-09-16,5043,5,0,4,3,3356
183,2019-09-17,3356,3,3,5,6,3708
184,2019-09-18,3708,3,7,0,8,8518
185,2019-09-19,8518,8,5,1,8,3542
186,2019-09-20,3542,3,5,4,2,1155
187,2019-09-23,1155,1,1,5,5,1015
188,2019-09-24,1015,1,0,1,5,1834
189,2019-09-25,1834,1,8,3,4,1067
190,2019-09-26,1067,1,0,6,7,8847
191,2019-09-27,8847,8,8,4,7,9086
192,2019-09-30,9086,9,0,8,6,362
193,2019-10-01,362,0,3,6,2,9996
194,2019-10-02,9996,9,9,9,6,7778
195,2019-10-03,7778,7,7,7,8,987
196,2019-10-04,987,0,9,8,7,7499
197,2019-10-07,7499,7,4,9,9,222
198,2019-10-08,222,0,2,2,2,5543
199,2019-10-09,5543,5,5,4,3,8165
200,2019-10-10,8165,8,1,6,5,72
201,2019-10-11,72,0,0,7,2,119
202,2019-10-14,119,0,1,1,9,5939
203,2019-10-15,5939,5,9,3,9,8795
204,2019-10-16,8795,8,7,9,5,5550
205,2019-10-17,5550,5,5,5,0,1459
206,2019-10-18,1459,1,4,5,9,93
207,2019-10-21,93,0,0,9,3,3103
208,2019-10-22,3103,3,1,0,3,8447
209,2019-10-23,8447,8,4,4,7,8362
210,2019-10-24,8362,8,3,6,2,7215
211,2019-10-25,7215,7,2,1,5,7173
212,2019-10-28,7173,7,1,7,3,8530
213,2019-10-29,8530,8,5,3,0,2119
214,2019-10-30,2119,2,1,1,9,3036
215,2019-10-31,3036,3,0,3,6,8719
216,2019-11-01,8719,8,7,1,9,8593
217,2019-11-04,8593,8,5,9,3,5272
218,2019-11-05,5272,5,2,7,2,1546
219,2019-11-06,1546,1,5,4,6,135
220,2019-11-07,135,0,1,3,5,6748
221,2019-11-08,6748,6,7,4,8,6693
222,2019-11-11,6693,6,6,9,3,5513
223,2019-11-12,5513,5,5,1,3,9909
224,2019-11-13,9909,9,9,0,9,1463
225,2019-11-14,1463,1,4,6,3,4955
226,2019-11-15,4955,4,9,5,5,6824
227,2019-11-18,6824,6,8,2,4,9645
228,2019-11-19,9645,9,6,4,5,1400
229,2019-11-20,1400,1,4,0,0,8196
230,2019-11-21,8196,8,1,9,6,2639
231,2019-11-22,2639,2,6,3,9,6543
232,2019-11-25,6543,6,5,4,3,2080
233,2019-11-26,2080,2,0,8,0,6945
234,2019-11-27,6945,6,9,4,5,7088
235,2019-11-28,7088,7,0,8,8,8557
236,2019-11-29,8557,8,5,5,7,4556
237,2019-12-02,4556,4,5,5,6,3710
238,2019-12-03,3710,3,7,1,0,53
239,2019-12-04,53,0,0,5,3,7622
240,2019-12-05,7622,7,6,2,2,2842
241,2019-12-06,2842,2,8,4,2,9864
242,2019-12-09,9864,9,8,6,4,9168
243,2019-12-10,9168,9,1,6,8,7186
244,2019-12-11,7186,7,1,8,6,18
245,2019-12-12,18,0,0,1,8,8482
246,2019-12-13,8482,8,4,8,2,408
247,2019-12-16,408,0,4,0,8,6065
248,2019-12-17,6065,6,0,6,5,6084
249,2019-12-18,6084,6,0,8,4,8496
250,2019-12-19,8496,8,4,9,6,1505
251,2019-12-20,1505,1,5,0,5,1333
252,2019-12-23,1333,1,3,3,3,4069
253,2019-12-24,4069,4,0,6,9,6395
254,2019-12-25,6395,6,3,9,5,4732
255,2019-12-26,4732,4,7,3,2,2682
256,2019-12-27,2682,2,6,8,2,9980
257,2019-12-30,9980,9,9,8,0,702
1,2020-01-06,702,0,7,0,2,6143
2,2020-01-07,6143,6,1,4,3,4198
3,2020-01-08,4198,4,1,9,8,5049
4,2020-01-09,5049,5,0,4,9,9954
5,2020-01-10,9954,9,9,5,4,9896
6,2020-01-13,9896,9,8,9,6,1450
7,2020-01-14,1450,1,4,5,0,9545
8,2020-01-15,9545,9,5,4,5,990
9,2020-01-16,990,0,9,9,0,6490
10,2020-01-17,6490,6,4,9,0,2668
11,2020-01-20,2668,2,6,6,8,5172
12,2020-01-21,5172,5,1,7,2,4349
13,2020-01-22,4349,4,3,4,9,2309
