DataCategory,acc,f1,recall,precision,tp,fn,fp,tn,model_name,model_target
train,1.0,1.0,1.0,1.0,1162,0,0,1022,tree,y_weekday
test,0.7916666666666666,0.7958115183246073,0.7916666666666666,0.8,380,100,95,361,tree,y_weekday
train,1.0,1.0,1.0,1.0,1162,0,0,1022,RandomForest,y_weekday
test,0.7617521367521367,0.7698658410732713,0.7770833333333333,0.7627811860940695,373,107,116,340,RandomForest,y_weekday
train,0.8342490842490843,0.8419213973799127,0.8296041308089501,0.8546099290780141,964,198,164,858,GradientBoosting,y_weekday
test,0.7767094017094017,0.781151832460733,0.7770833333333333,0.7852631578947369,373,107,102,354,GradientBoosting,y_weekday
train,1.0,1.0,1.0,1.0,1132,0,0,1052,tree,y_weekend
test,0.7724358974358975,0.785929648241206,0.7947154471544715,0.7773359840954275,391,101,112,332,tree,y_weekend
train,1.0,1.0,1.0,1.0,1132,0,0,1052,RandomForest,y_weekend
test,0.8344017094017094,0.8403707518022656,0.8292682926829268,0.8517745302713987,408,84,71,373,RandomForest,y_weekend
train,0.8594322344322345,0.8616493916178459,0.8445229681978799,0.8794848206071757,956,176,131,921,GradientBoosting,y_weekend
test,0.8600427350427351,0.8636836628511966,0.8434959349593496,0.8848614072494669,415,77,54,390,GradientBoosting,y_weekend
