cols,importance,model_name,model_target
order_weekend,0.39449650818199666,tree,y_weekday
order_weekday,0.30122273016905826,tree,y_weekday
order,0.034758789641137655,tree,y_weekday
order_time_14,0.023570999786017247,tree,y_weekday
order_time_15,0.022245298564090406,tree,y_weekday
order_delivery,0.021744765561181982,tree,y_weekday
order_fin,0.01930063899812796,tree,y_weekday
order_time_21,0.01928260769295353,tree,y_weekday
order_cancel,0.019247473782744908,tree,y_weekday
order_time_19,0.017389031016858642,tree,y_weekday
order_time_11,0.0167040221533204,tree,y_weekday
order_time_17,0.01620441500867365,tree,y_weekday
order_time_20,0.015936177245081368,tree,y_weekday
order_time_12,0.015407331324211779,tree,y_weekday
order_time_18,0.014376593276005871,tree,y_weekday
delta_avg,0.011126634786808573,tree,y_weekday
order_time_16,0.007974810651690875,tree,y_weekday
order_takeout,0.003158651125228131,tree,y_weekday
order_time_13,0.0031335824655040973,tree,y_weekday
store_市川店,0.002578490714471943,tree,y_weekday
store_神田店,0.002146927445960239,tree,y_weekday
store_昭島店,0.002137433092259638,tree,y_weekday
store_幸店,0.00208262711553503,tree,y_weekday
store_白井店,0.0020510721592390457,tree,y_weekday
store_日野店,0.0020402654349591836,tree,y_weekday
store_稲城店,0.001974156953267581,tree,y_weekday
store_あきる野店,0.0019338680358539577,tree,y_weekday
store_水戸店,0.0018801494793024586,tree,y_weekday
store_柏店,0.0016921345313722126,tree,y_weekday
store_西東京店,0.0011009068035433642,tree,y_weekday
store_春日部店,0.0006768538125488841,tree,y_weekday
store_戸田店,0.00042405299099447974,tree,y_weekday
store_栄店,0.0,tree,y_weekday
store_狭山店,0.0,tree,y_weekday
store_渋谷店,0.0,tree,y_weekday
store_港北店,0.0,tree,y_weekday
store_港南店,0.0,tree,y_weekday
store_瀬谷店,0.0,tree,y_weekday
store_熊谷店,0.0,tree,y_weekday
store_狛江店,0.0,tree,y_weekday
store_町田店,0.0,tree,y_weekday
store_王子店,0.0,tree,y_weekday
store_海老名店,0.0,tree,y_weekday
store_東松山店,0.0,tree,y_weekday
store_目黒店,0.0,tree,y_weekday
store_相模原店,0.0,tree,y_weekday
store_石神井店,0.0,tree,y_weekday
store_磯子店,0.0,tree,y_weekday
store_神奈川店,0.0,tree,y_weekday
store_清瀬店,0.0,tree,y_weekday
store_松戸店,0.0,tree,y_weekday
store_浦安店,0.0,tree,y_weekday
store_浦和店,0.0,tree,y_weekday
store_桐生店,0.0,tree,y_weekday
store_栃木店,0.0,tree,y_weekday
store_横浜南店,0.0,tree,y_weekday
store_横浜緑店,0.0,tree,y_weekday
store_横須賀店,0.0,tree,y_weekday
store_福生店,0.0,tree,y_weekday
store_武蔵野店,0.0,tree,y_weekday
store_江戸川店,0.0,tree,y_weekday
store_江東店,0.0,tree,y_weekday
store_池尻店,0.0,tree,y_weekday
store_池袋店,0.0,tree,y_weekday
store_泉店,0.0,tree,y_weekday
store_流山店,0.0,tree,y_weekday
store_浅草店,0.0,tree,y_weekday
store_板橋店,0.0,tree,y_weekday
store_武蔵村山店,0.0,tree,y_weekday
store_若葉店,0.0,tree,y_weekday
store_秦野店,0.0,tree,y_weekday
store_越谷店,0.0,tree,y_weekday
store_足柄上店,0.0,tree,y_weekday
store_足立店,0.0,tree,y_weekday
store_逗子店,0.0,tree,y_weekday
store_那珂店,0.0,tree,y_weekday
store_都筑店,0.0,tree,y_weekday
store_金沢店,0.0,tree,y_weekday
store_銀座店,0.0,tree,y_weekday
store_鎌倉店,0.0,tree,y_weekday
store_青山店,0.0,tree,y_weekday
store_青梅店,0.0,tree,y_weekday
store_青葉店,0.0,tree,y_weekday
store_館林店,0.0,tree,y_weekday
store_駒沢店,0.0,tree,y_weekday
store_駒込店,0.0,tree,y_weekday
store_高円寺店,0.0,tree,y_weekday
store_高島平店,0.0,tree,y_weekday
store_高崎店,0.0,tree,y_weekday
store_高座店,0.0,tree,y_weekday
store_高津店,0.0,tree,y_weekday
store_高田馬場店,0.0,tree,y_weekday
store_鴻巣店,0.0,tree,y_weekday
store_足利店,0.0,tree,y_weekday
