id,age,job,marital,education,default,amount,housing,loan,contact,day,month,duration,campaign,previous,y
1,39,blue-collar,married,secondary,no,1756.0,yes,no,cellular,3,apr,370.0552374450529,1,0,1
2,51,entrepreneur,married,primary,no,1443.0,no,no,cellular,18,feb,233.99893263703405,10,0,1
3,36,management,single,tertiary,no,436.0,no,no,cellular,13,apr,,1,2,0
4,63,retired,married,secondary,no,474.0,no,no,cellular,25,jan,252.5258084369837,1,0,0
5,31,management,single,tertiary,no,354.0,no,no,cellular,30,apr,,1,2,0
6,29,blue-collar,single,secondary,no,260.0,yes,no,sending _document,2,jun,238.38536779921102,14,0,0
7,37,services,married,secondary,no,52.0,yes,no,cellular,6,sep,350.26998876782187,1,9,1
8,32,technician,single,secondary,no,449.0,yes,no,cellular,18,may,359.912130083108,1,8,0
9,31,admin.,single,secondary,no,0.0,yes,no,cellular,7,may,292.50340349124315,2,2,0
10,32,self-employed,single,tertiary,no,1815.0,no,no,telephone,10,aug,184.90383730293308,1,2,0
11,35,self-employed,single,tertiary,no,353.0,no,no,cellular,12,aug,,1,0,0
12,34,technician,divorced,secondary,no,1451.0,yes,no,sending _document,30,may,,15,0,1
13,34,admin.,single,tertiary,no,625.0,no,yes,sending _document,31,aug,280.67421434378605,1,0,1
14,31,management,divorced,tertiary,no,883.0,yes,no,cellular,5,mar,329.6653706570401,2,1,1
15,38,blue-collar,married,primary,no,5839.0,yes,no,sending _document,4,jun,270.20865294269174,2,0,0
16,71,technician,married,tertiary,no,383.0,no,no,cellular,27,apr,362.3259086260928,3,0,1
17,62,management,married,tertiary,no,557.0,no,no,cellular,14,aug,253.12482789709068,1,0,0
18,66,retired,married,secondary,no,154.0,no,no,cellular,15,jul,338.5518583218379,5,2,1
19,46,blue-collar,married,primary,no,369.0,yes,no,sending _document,13,may,336.77831333514297,2,0,0
20,29,admin.,single,tertiary,no,89.0,yes,no,cellular,22,jul,308.716609985657,1,0,0
21,28,self-employed,married,tertiary,no,112.0,yes,yes,cellular,5,may,360.66625449377256,1,0,0
22,67,retired,married,primary,no,708.0,no,no,cellular,11,sep,325.4765583452936,2,0,1
23,42,management,married,tertiary,no,4.0,yes,no,cellular,17,jul,374.50806960914406,1,0,0
24,33,admin.,divorced,secondary,no,420.0,yes,no,telephone,6,feb,325.619457678194,2,0,0
25,39,services,single,secondary,no,158.0,yes,no,sending _document,6,jun,267.7259592503353,2,0,0
26,57,retired,divorced,tertiary,no,66.0,yes,no,cellular,11,may,381.2909772515247,2,0,0
27,43,management,single,tertiary,no,0.0,no,no,cellular,11,aug,210.3409796145122,2,0,0
28,46,services,divorced,unknown,no,973.0,no,no,cellular,2,feb,,1,0,0
29,31,blue-collar,married,primary,no,-81.0,yes,no,cellular,22,jul,436.10867146136184,1,0,1
30,36,technician,single,secondary,no,524.0,yes,no,cellular,8,apr,296.43052367288607,1,0,0
31,33,technician,single,secondary,no,0.0,yes,yes,cellular,9,feb,371.02955578181036,2,4,0
32,52,admin.,single,unknown,no,2227.0,no,no,cellular,24,feb,244.12823885294677,2,0,0
33,30,self-employed,single,tertiary,no,800.0,no,no,sending _document,6,may,195.22795321178205,2,0,1
34,41,management,married,tertiary,no,-4.0,yes,no,cellular,8,may,303.9602099994643,1,1,0
35,29,blue-collar,married,secondary,no,-493.0,yes,no,cellular,18,may,349.10899347569,2,4,1
36,56,management,married,tertiary,no,171.0,no,yes,telephone,17,jul,281.972941860896,2,0,0
37,48,management,married,secondary,no,2204.0,yes,no,cellular,12,may,364.8095046338021,1,0,0
38,30,technician,single,secondary,no,601.0,no,no,cellular,27,feb,,1,0,0
39,60,housemaid,divorced,primary,no,1412.0,no,no,cellular,22,jul,340.393791112222,4,0,1
40,32,technician,married,secondary,no,1337.0,no,no,sending _document,26,may,,6,0,0
41,31,management,single,secondary,yes,0.0,no,no,cellular,18,nov,,2,0,0
42,29,management,married,tertiary,no,54.0,no,no,cellular,28,jan,,3,0,0
43,33,technician,married,tertiary,no,1126.0,yes,no,sending _document,6,sep,296.23744398560706,1,5,0
44,31,technician,single,secondary,no,691.0,yes,no,cellular,8,may,308.99756975942245,1,0,0
45,39,technician,married,tertiary,no,794.0,no,no,telephone,2,feb,,1,0,0
46,23,blue-collar,single,secondary,no,-95.0,yes,no,sending _document,14,may,247.8248540920062,3,0,0
47,51,technician,divorced,secondary,no,107.0,no,no,sending _document,19,jun,228.9333829089311,1,0,0
48,39,housemaid,married,secondary,no,-146.0,yes,yes,cellular,20,aug,389.4651005505289,2,0,0
49,40,management,married,tertiary,no,1041.0,yes,no,sending _document,12,jun,381.6909888341675,1,0,1
50,69,admin.,married,secondary,no,813.0,no,no,telephone,28,sep,247.27346175152644,2,0,0
51,32,admin.,divorced,secondary,no,2017.0,no,yes,cellular,17,jul,358.24104280105325,1,0,1
52,30,blue-collar,married,primary,no,236.0,yes,no,cellular,13,may,248.32861076634475,1,1,0
53,56,unemployed,divorced,tertiary,no,0.0,yes,no,cellular,30,jul,464.93629152072026,6,0,1
54,32,management,single,tertiary,no,2343.0,no,no,cellular,18,jul,,1,0,0
55,49,services,married,primary,no,1830.0,yes,no,cellular,13,aug,394.50574655962686,1,1,1
56,45,management,divorced,tertiary,no,2813.0,yes,no,cellular,13,may,424.98850350193186,1,0,1
57,45,entrepreneur,married,primary,no,58.0,yes,no,telephone,13,may,282.50937403117433,3,3,0
58,55,technician,single,tertiary,no,-703.0,yes,no,cellular,8,may,424.47308472504386,3,0,1
59,77,retired,married,primary,no,2590.0,no,no,telephone,15,feb,,5,15,1
60,30,management,married,tertiary,no,0.0,no,no,cellular,21,aug,,2,0,0
61,56,technician,married,secondary,no,4073.0,no,no,cellular,27,aug,312.1784478018085,5,0,0
62,54,management,married,tertiary,no,500.0,yes,no,cellular,11,aug,,4,0,1
63,32,technician,single,secondary,no,5205.0,no,no,cellular,20,nov,,1,0,0
64,43,blue-collar,divorced,primary,no,49.0,yes,no,sending _document,9,may,334.0922065188621,1,0,0
65,48,unemployed,married,secondary,no,1811.0,yes,no,telephone,31,jul,,3,0,1
66,50,management,married,tertiary,no,89.0,no,no,sending _document,20,jun,215.93805868570124,2,0,0
