id,issue number,date,number,place1,place2,place3,day of week
1,‘æ0001‰ñ,1994/10/7,191,1,9,1,Friday
2,‘æ0002‰ñ,1994/10/14,988,9,8,8,Friday
3,‘æ0003‰ñ,1994/10/21,194,1,9,4,Friday
4,‘æ0004‰ñ,1994/10/28,105,1,0,5,Friday
5,‘æ0005‰ñ,1994/11/4,592,5,9,2,Friday
6,‘æ0006‰ñ,1994/11/11,792,7,9,2,Friday
7,‘æ0007‰ñ,1994/11/18,708,7,0,8,Friday
8,‘æ0008‰ñ,1994/11/25,234,2,3,4,Friday
9,‘æ0009‰ñ,1994/12/2,243,2,4,3,Friday
10,‘æ0010‰ñ,1994/12/9,340,3,4,0,Friday
11,‘æ0011‰ñ,1994/12/16,326,3,2,6,Friday
12,‘æ0012‰ñ,1994/12/23,247,2,4,7,Friday
13,‘æ0013‰ñ,1994/12/30,229,2,2,9,Friday
14,‘æ0014‰ñ,1995/1/6,743,7,4,3,Friday
15,‘æ0015‰ñ,1995/1/10,19,0,1,9,Tuesday
16,‘æ0016‰ñ,1995/1/13,179,1,7,9,Friday
17,‘æ0017‰ñ,1995/1/17,475,4,7,5,Tuesday
18,‘æ0018‰ñ,1995/1/20,291,2,9,1,Friday
19,‘æ0019‰ñ,1995/1/24,852,8,5,2,Tuesday
20,‘æ0020‰ñ,1995/1/27,502,5,0,2,Friday
21,‘æ0021‰ñ,1995/1/31,558,5,5,8,Tuesday
22,‘æ0022‰ñ,1995/2/3,951,9,5,1,Friday
23,‘æ0023‰ñ,1995/2/7,912,9,1,2,Tuesday
24,‘æ0024‰ñ,1995/2/10,39,0,3,9,Friday
25,‘æ0025‰ñ,1995/2/14,458,4,5,8,Tuesday
26,‘æ0026‰ñ,1995/2/17,984,9,8,4,Friday
27,‘æ0027‰ñ,1995/2/21,917,9,1,7,Tuesday
28,‘æ0028‰ñ,1995/2/24,789,7,8,9,Friday
29,‘æ0029‰ñ,1995/2/28,589,5,8,9,Tuesday
30,‘æ0030‰ñ,1995/3/3,725,7,2,5,Friday
31,‘æ0031‰ñ,1995/3/7,73,0,7,3,Tuesday
32,‘æ0032‰ñ,1995/3/10,547,5,4,7,Friday
33,‘æ0033‰ñ,1995/3/14,63,0,6,3,Tuesday
34,‘æ0034‰ñ,1995/3/17,634,6,3,4,Friday
35,‘æ0035‰ñ,1995/3/21,333,3,3,3,Tuesday
36,‘æ0036‰ñ,1995/3/24,405,4,0,5,Friday
37,‘æ0037‰ñ,1995/3/28,168,1,6,8,Tuesday
38,‘æ0038‰ñ,1995/3/31,389,3,8,9,Friday
39,‘æ0039‰ñ,1995/4/4,587,5,8,7,Tuesday
40,‘æ0040‰ñ,1995/4/7,304,3,0,4,Friday
41,‘æ0041‰ñ,1995/4/11,48,0,4,8,Tuesday
42,‘æ0042‰ñ,1995/4/14,228,2,2,8,Friday
43,‘æ0043‰ñ,1995/4/18,922,9,2,2,Tuesday
44,‘æ0044‰ñ,1995/4/21,697,6,9,7,Friday
45,‘æ0045‰ñ,1995/4/25,970,9,7,0,Tuesday
46,‘æ0046‰ñ,1995/4/28,298,2,9,8,Friday
47,‘æ0047‰ñ,1995/5/2,989,9,8,9,Tuesday
48,‘æ0048‰ñ,1995/5/5,202,2,0,2,Friday
49,‘æ0049‰ñ,1995/5/9,476,4,7,6,Tuesday
50,‘æ0050‰ñ,1995/5/12,42,0,4,2,Friday
51,‘æ0051‰ñ,1995/5/16,802,8,0,2,Tuesday
52,‘æ0052‰ñ,1995/5/19,717,7,1,7,Friday
53,‘æ0053‰ñ,1995/5/23,889,8,8,9,Tuesday
54,‘æ0054‰ñ,1995/5/26,226,2,2,6,Friday
55,‘æ0055‰ñ,1995/5/30,728,7,2,8,Tuesday
56,‘æ0056‰ñ,1995/6/2,929,9,2,9,Friday
57,‘æ0057‰ñ,1995/6/6,836,8,3,6,Tuesday
58,‘æ0058‰ñ,1995/6/9,383,3,8,3,Friday
59,‘æ0059‰ñ,1995/6/13,410,4,1,0,Tuesday
60,‘æ0060‰ñ,1995/6/16,980,9,8,0,Friday
61,‘æ0061‰ñ,1995/6/20,542,5,4,2,Tuesday
62,‘æ0062‰ñ,1995/6/23,725,7,2,5,Friday
63,‘æ0063‰ñ,1995/6/27,251,2,5,1,Tuesday
64,‘æ0064‰ñ,1995/6/30,260,2,6,0,Friday
65,‘æ0065‰ñ,1995/7/4,588,5,8,8,Tuesday
66,‘æ0066‰ñ,1995/7/7,512,5,1,2,Friday
67,‘æ0067‰ñ,1995/7/11,512,5,1,2,Tuesday
68,‘æ0068‰ñ,1995/7/14,750,7,5,0,Friday
69,‘æ0069‰ñ,1995/7/18,902,9,0,2,Tuesday
70,‘æ0070‰ñ,1995/7/21,963,9,6,3,Friday
71,‘æ0071‰ñ,1995/7/25,661,6,6,1,Tuesday
72,‘æ0072‰ñ,1995/7/28,879,8,7,9,Friday
73,‘æ0073‰ñ,1995/8/1,452,4,5,2,Tuesday
74,‘æ0074‰ñ,1995/8/4,174,1,7,4,Friday
75,‘æ0075‰ñ,1995/8/8,283,2,8,3,Tuesday
76,‘æ0076‰ñ,1995/8/11,238,2,3,8,Friday
77,‘æ0077‰ñ,1995/8/15,972,9,7,2,Tuesday
78,‘æ0078‰ñ,1995/8/18,241,2,4,1,Friday
79,‘æ0079‰ñ,1995/8/22,310,3,1,0,Tuesday
80,‘æ0080‰ñ,1995/8/25,882,8,8,2,Friday
