issue number,date,number,place1,place2,place3,day of week,year,month,day,,,,,,,,,,,,,,,
1,1994/10/7,191,1,9,1,Friday,1994,10,7,,,,,,,,,,,,,,,
2,1994/10/14,988,9,8,8,Friday,1994,10,14,,,,,,,,,,,,,,,
3,1994/10/21,194,1,9,4,Friday,1994,10,21,,,,,,,,,,,,,,,
4,1994/10/28,105,1,0,5,Friday,1994,10,28,,,,,,,,,,,,,,,
5,1994/11/4,592,5,9,2,Friday,1994,11,4,,,,,,,,,,,,,,,
6,1994/11/11,792,7,9,2,Friday,1994,11,11,,,,,,,,,,,,,,,
7,1994/11/18,708,7,0,8,Friday,1994,11,18,,,,,,,,,,,,,,,
8,1994/11/25,234,2,3,4,Friday,1994,11,25,,,,,,,,,,,,,,,
9,1994/12/2,243,2,4,3,Friday,1994,12,2,,,,,,,,,,,,,,,
10,1994/12/9,340,3,4,0,Friday,1994,12,9,,,,,,,,,,,,,,,
11,1994/12/16,326,3,2,6,Friday,1994,12,16,,,,,,,,,,,,,,,
12,1994/12/23,247,2,4,7,Friday,1994,12,23,,,,,,,,,,,,,,,
13,1994/12/30,229,2,2,9,Friday,1994,12,30,,,,,,,,,,,,,,,
14,1995/1/6,743,7,4,3,Friday,1995,1,6,,,,,,,,,,,,,,,
15,1995/1/10,19,0,1,9,Tuesday,1995,1,10,,,,,,,,,,,,,,,
16,1995/1/13,179,1,7,9,Friday,1995,1,13,,,,,,,,,,,,,,,
17,1995/1/17,475,4,7,5,Tuesday,1995,1,17,,,,,,,,,,,,,,,
18,1995/1/20,291,2,9,1,Friday,1995,1,20,,,,,,,,,,,,,,,
19,1995/1/24,852,8,5,2,Tuesday,1995,1,24,,,,,,,,,,,,,,,
20,1995/1/27,502,5,0,2,Friday,1995,1,27,,,,,,,,,,,,,,,
21,1995/1/31,558,5,5,8,Tuesday,1995,1,31,,,,,,,,,,,,,,,
22,1995/2/3,951,9,5,1,Friday,1995,2,3,,,,,,,,,,,,,,,
23,1995/2/7,912,9,1,2,Tuesday,1995,2,7,,,,,,,,,,,,,,,
24,1995/2/10,39,0,3,9,Friday,1995,2,10,,,,,,,,,,,,,,,
25,1995/2/14,458,4,5,8,Tuesday,1995,2,14,,,,,,,,,,,,,,,
26,1995/2/17,984,9,8,4,Friday,1995,2,17,,,,,,,,,,,,,,,
27,1995/2/21,917,9,1,7,Tuesday,1995,2,21,,,,,,,,,,,,,,,
28,1995/2/24,789,7,8,9,Friday,1995,2,24,,,,,,,,,,,,,,,
29,1995/2/28,589,5,8,9,Tuesday,1995,2,28,,,,,,,,,,,,,,,
30,1995/3/3,725,7,2,5,Friday,1995,3,3,,,,,,,,,,,,,,,
31,1995/3/7,73,0,7,3,Tuesday,1995,3,7,,,,,,,,,,,,,,,
32,1995/3/10,547,5,4,7,Friday,1995,3,10,,,,,,,,,,,,,,,
33,1995/3/14,63,0,6,3,Tuesday,1995,3,14,,,,,,,,,,,,,,,
34,1995/3/17,634,6,3,4,Friday,1995,3,17,,,,,,,,,,,,,,,
35,1995/3/21,333,3,3,3,Tuesday,1995,3,21,,,,,,,,,,,,,,,
36,1995/3/24,405,4,0,5,Friday,1995,3,24,,,,,,,,,,,,,,,
37,1995/3/28,168,1,6,8,Tuesday,1995,3,28,,,,,,,,,,,,,,,
38,1995/3/31,389,3,8,9,Friday,1995,3,31,,,,,,,,,,,,,,,
39,1995/4/4,587,5,8,7,Tuesday,1995,4,4,,,,,,,,,,,,,,,
40,1995/4/7,304,3,0,4,Friday,1995,4,7,,,,,,,,,,,,,,,
41,1995/4/11,48,0,4,8,Tuesday,1995,4,11,,,,,,,,,,,,,,,
42,1995/4/14,228,2,2,8,Friday,1995,4,14,,,,,,,,,,,,,,,
43,1995/4/18,922,9,2,2,Tuesday,1995,4,18,,,,,,,,,,,,,,,
44,1995/4/21,697,6,9,7,Friday,1995,4,21,,,,,,,,,,,,,,,
45,1995/4/25,970,9,7,0,Tuesday,1995,4,25,,,,,,,,,,,,,,,
46,1995/4/28,298,2,9,8,Friday,1995,4,28,,,,,,,,,,,,,,,
47,1995/5/2,989,9,8,9,Tuesday,1995,5,2,,,,,,,,,,,,,,,
48,1995/5/5,202,2,0,2,Friday,1995,5,5,,,,,,,,,,,,,,,
49,1995/5/9,476,4,7,6,Tuesday,1995,5,9,,,,,,,,,,,,,,,
50,1995/5/12,42,0,4,2,Friday,1995,5,12,,,,,,,,,,,,,,,
51,1995/5/16,802,8,0,2,Tuesday,1995,5,16,,,,,,,,,,,,,,,
52,1995/5/19,717,7,1,7,Friday,1995,5,19,,,,,,,,,,,,,,,
53,1995/5/23,889,8,8,9,Tuesday,1995,5,23,,,,,,,,,,,,,,,
54,1995/5/26,226,2,2,6,Friday,1995,5,26,,,,,,,,,,,,,,,
55,1995/5/30,728,7,2,8,Tuesday,1995,5,30,,,,,,,,,,,,,,,
56,1995/6/2,929,9,2,9,Friday,1995,6,2,,,,,,,,,,,,,,,
57,1995/6/6,836,8,3,6,Tuesday,1995,6,6,,,,,,,,,,,,,,,
58,1995/6/9,383,3,8,3,Friday,1995,6,9,,,,,,,,,,,,,,,
59,1995/6/13,410,4,1,0,Tuesday,1995,6,13,,,,,,,,,,,,,,,
60,1995/6/16,980,9,8,0,Friday,1995,6,16,,,,,,,,,,,,,,,
61,1995/6/20,542,5,4,2,Tuesday,1995,6,20,,,,,,,,,,,,,,,
62,1995/6/23,725,7,2,5,Friday,1995,6,23,,,,,,,,,,,,,,,
63,1995/6/27,251,2,5,1,Tuesday,1995,6,27,,,,,,,,,,,,,,,
64,1995/6/30,260,2,6,0,Friday,1995,6,30,,,,,,,,,,,,,,,
65,1995/7/4,588,5,8,8,Tuesday,1995,7,4,,,,,,,,,,,,,,,
66,1995/7/7,512,5,1,2,Friday,1995,7,7,,,,,,,,,,,,,,,
67,1995/7/11,512,5,1,2,Tuesday,1995,7,11,,,,,,,,,,,,,,,
68,1995/7/14,750,7,5,0,Friday,1995,7,14,,,,,,,,,,,,,,,
69,1995/7/18,902,9,0,2,Tuesday,1995,7,18,,,,,,,,,,,,,,,
70,1995/7/21,963,9,6,3,Friday,1995,7,21,,,,,,,,,,,,,,,
71,1995/7/25,661,6,6,1,Tuesday,1995,7,25,,,,,,,,,,,,,,,
72,1995/7/28,879,8,7,9,Friday,1995,7,28,,,,,,,,,,,,,,,
73,1995/8/1,452,4,5,2,Tuesday,1995,8,1,,,,,,,,,,,,,,,
74,1995/8/4,174,1,7,4,Friday,1995,8,4,,,,,,,,,,,,,,,
75,1995/8/8,283,2,8,3,Tuesday,1995,8,8,,,,,,,,,,,,,,,
76,1995/8/11,238,2,3,8,Friday,1995,8,11,,,,,,,,,,,,,,,
77,1995/8/15,972,9,7,2,Tuesday,1995,8,15,,,,,,,,,,,,,,,
78,1995/8/18,241,2,4,1,Friday,1995,8,18,,,,,,,,,,,,,,,
79,1995/8/22,310,3,1,0,Tuesday,1995,8,22,,,,,,,,,,,,,,,
80,1995/8/25,882,8,8,2,Friday,1995,8,25,,,,,,,,,,,,,,,
81,1995/8/29,269,2,6,9,Tuesday,1995,8,29,,,,,,,,,,,,,,,
82,1995/9/1,144,1,4,4,Friday,1995,9,1,,,,,,,,,,,,,,,
83,1995/9/5,174,1,7,4,Tuesday,1995,9,5,,,,,,,,,,,,,,,
84,1995/9/8,882,8,8,2,Friday,1995,9,8,,,,,,,,,,,,,,,
85,1995/9/12,307,3,0,7,Tuesday,1995,9,12,,,,,,,,,,,,,,,
86,1995/9/15,864,8,6,4,Friday,1995,9,15,,,,,,,,,,,,,,,
87,1995/9/19,370,3,7,0,Tuesday,1995,9,19,,,,,,,,,,,,,,,
88,1995/9/22,739,7,3,9,Friday,1995,9,22,,,,,,,,,,,,,,,
89,1995/9/26,697,6,9,7,Tuesday,1995,9,26,,,,,,,,,,,,,,,
90,1995/9/29,689,6,8,9,Friday,1995,9,29,,,,,,,,,,,,,,,
91,1995/10/3,168,1,6,8,Tuesday,1995,10,3,,,,,,,,,,,,,,,
92,1995/10/6,957,9,5,7,Friday,1995,10,6,,,,,,,,,,,,,,,
93,1995/10/10,910,9,1,0,Tuesday,1995,10,10,,,,,,,,,,,,,,,
94,1995/10/13,933,9,3,3,Friday,1995,10,13,,,,,,,,,,,,,,,
95,1995/10/17,306,3,0,6,Tuesday,1995,10,17,,,,,,,,,,,,,,,
96,1995/10/20,944,9,4,4,Friday,1995,10,20,,,,,,,,,,,,,,,
97,1995/10/24,988,9,8,8,Tuesday,1995,10,24,,,,,,,,,,,,,,,
98,1995/10/27,562,5,6,2,Friday,1995,10,27,,,,,,,,,,,,,,,
99,1995/10/31,571,5,7,1,Tuesday,1995,10,31,,,,,,,,,,,,,,,
100,1995/11/3,899,8,9,9,Friday,1995,11,3,,,,,,,,,,,,,,,
101,1995/11/7,945,9,4,5,Tuesday,1995,11,7,,,,,,,,,,,,,,,
102,1995/11/10,560,5,6,0,Friday,1995,11,10,,,,,,,,,,,,,,,
103,1995/11/14,824,8,2,4,Tuesday,1995,11,14,,,,,,,,,,,,,,,
104,1995/11/17,610,6,1,0,Friday,1995,11,17,,,,,,,,,,,,,,,
105,1995/11/21,619,6,1,9,Tuesday,1995,11,21,,,,,,,,,,,,,,,
106,1995/11/24,86,0,8,6,Friday,1995,11,24,,,,,,,,,,,,,,,
107,1995/11/28,82,0,8,2,Tuesday,1995,11,28,,,,,,,,,,,,,,,
108,1995/12/1,254,2,5,4,Friday,1995,12,1,,,,,,,,,,,,,,,
109,1995/12/5,191,1,9,1,Tuesday,1995,12,5,,,,,,,,,,,,,,,
110,1995/12/8,385,3,8,5,Friday,1995,12,8,,,,,,,,,,,,,,,
111,1995/12/12,56,0,5,6,Tuesday,1995,12,12,,,,,,,,,,,,,,,
112,1995/12/15,167,1,6,7,Friday,1995,12,15,,,,,,,,,,,,,,,
113,1995/12/19,744,7,4,4,Tuesday,1995,12,19,,,,,,,,,,,,,,,
114,1995/12/22,205,2,0,5,Friday,1995,12,22,,,,,,,,,,,,,,,
115,1995/12/26,770,7,7,0,Tuesday,1995,12,26,,,,,,,,,,,,,,,
116,1995/12/29,366,3,6,6,Friday,1995,12,29,,,,,,,,,,,,,,,
117,1996/1/5,952,9,5,2,Friday,1996,1,5,,,,,,,,,,,,,,,
118,1996/1/9,635,6,3,5,Tuesday,1996,1,9,,,,,,,,,,,,,,,
119,1996/1/12,952,9,5,2,Friday,1996,1,12,,,,,,,,,,,,,,,
120,1996/1/16,650,6,5,0,Tuesday,1996,1,16,,,,,,,,,,,,,,,
121,1996/1/19,439,4,3,9,Friday,1996,1,19,,,,,,,,,,,,,,,
122,1996/1/23,458,4,5,8,Tuesday,1996,1,23,,,,,,,,,,,,,,,
123,1996/1/26,513,5,1,3,Friday,1996,1,26,,,,,,,,,,,,,,,
124,1996/1/30,863,8,6,3,Tuesday,1996,1,30,,,,,,,,,,,,,,,
125,1996/2/2,409,4,0,9,Friday,1996,2,2,,,,,,,,,,,,,,,
126,1996/2/6,318,3,1,8,Tuesday,1996,2,6,,,,,,,,,,,,,,,
127,1996/2/9,217,2,1,7,Friday,1996,2,9,,,,,,,,,,,,,,,
128,1996/2/13,855,8,5,5,Tuesday,1996,2,13,,,,,,,,,,,,,,,
129,1996/2/16,620,6,2,0,Friday,1996,2,16,,,,,,,,,,,,,,,
130,1996/2/20,559,5,5,9,Tuesday,1996,2,20,,,,,,,,,,,,,,,
131,1996/2/23,820,8,2,0,Friday,1996,2,23,,,,,,,,,,,,,,,
132,1996/2/27,16,0,1,6,Tuesday,1996,2,27,,,,,,,,,,,,,,,
133,1996/3/1,926,9,2,6,Friday,1996,3,1,,,,,,,,,,,,,,,
134,1996/3/5,603,6,0,3,Tuesday,1996,3,5,,,,,,,,,,,,,,,
135,1996/3/8,454,4,5,4,Friday,1996,3,8,,,,,,,,,,,,,,,
136,1996/3/12,295,2,9,5,Tuesday,1996,3,12,,,,,,,,,,,,,,,
137,1996/3/15,819,8,1,9,Friday,1996,3,15,,,,,,,,,,,,,,,
138,1996/3/19,995,9,9,5,Tuesday,1996,3,19,,,,,,,,,,,,,,,
