dteday	holiday	weekday	workingday	weather_id	cnt
2011-01-01	0	6	0	2	985
2011-01-02	0	0	0	2	801
2011-01-03	0	1	1	1	1349
2011-01-04	0	2	1	1	1562
2011-01-05	0	3	1	1	1600
2011-01-06	0	4	1	1	1606
2011-01-07	0	5	1	2	1510
2011-01-08	0	6	0	2	959
2011-01-09	0	0	0	1	822
2011-01-10	0	1	1	1	1321
2011-01-11	0	2	1	2	1263
2011-01-12	0	3	1	1	1162
2011-01-13	0	4	1	1	1406
2011-01-14	0	5	1	1	1421
2011-01-15	0	6	0	2	1248
2011-01-16	0	0	0	1	1204
2011-01-17	1	1	0	2	1000
2011-01-18	0	2	1	2	683
2011-01-19	0	3	1	2	1650
2011-01-20	0	4	1	2	1927
2011-01-21	0	5	1	1	1543
2011-01-22	0	6	0	1	981
2011-01-23	0	0	0	1	986
2011-01-24	0	1	1	1	1416
2011-01-25	0	2	1	2	1985
2011-01-26	0	3	1	3	506
2011-01-27	0	4	1	1	431
2011-01-28	0	5	1	2	1167
2011-01-29	0	6	0	1	1098
2011-01-30	0	0	0	1	1096
2011-01-31	0	1	1	2	1501
2011-02-01	0	2	1	2	1360
2011-02-02	0	3	1	2	1526
2011-02-03	0	4	1	1	1550
2011-02-04	0	5	1	2	1708
2011-02-05	0	6	0	2	1005
2011-02-06	0	0	0	1	1623
2011-02-07	0	1	1	1	1712
2011-02-08	0	2	1	1	1530
2011-02-09	0	3	1	2	1605
2011-02-10	0	4	1	1	1538
2011-02-11	0	5	1	1	1746
2011-02-12	0	6	0	1	1472
2011-02-13	0	0	0	1	1589
2011-02-14	0	1	1	1	1913
2011-02-15	0	2	1	1	1815
2011-02-16	0	3	1	1	2115
2011-02-17	0	4	1	1	2475
2011-02-18	0	5	1	1	2927
2011-02-19	0	6	0	1	1635
2011-02-20	0	0	0	1	1812
2011-02-21	1	1	0	2	1107
2011-02-22	0	2	1	1	1450
2011-02-23	0	3	1	1	1917
2011-02-24	0	4	1	2	1807
2011-02-25	0	5	1	2	1461
2011-02-26	0	6	0	1	1969
2011-02-27	0	0	0	1	2402
2011-02-28	0	1	1	2	1446
2011-03-01	0	2	1	1	1851
2011-03-02	0	3	1	1	2134
2011-03-03	0	4	1	1	1685
2011-03-04	0	5	1	2	1944
2011-03-05	0	6	0	2	2077
2011-03-06	0	0	0	2	605
2011-03-07	0	1	1	1	1872
2011-03-08	0	2	1	1	2133
2011-03-09	0	3	1	2	1891
2011-03-10	0	4	1	3	623
2011-03-11	0	5	1	2	1977
2011-03-12	0	6	0	1	2132
2011-03-13	0	0	0	1	2417
2011-03-14	0	1	1	1	2046
2011-03-15	0	2	1	2	2056
2011-03-16	0	3	1	2	2192
2011-03-17	0	4	1	1	2744
2011-03-18	0	5	1	1	3239
2011-03-19	0	6	0	1	3117
2011-03-20	0	0	0	1	2471
2011-03-21	0	1	1	2	2077
2011-03-22	0	2	1	1	2703
2011-03-23	0	3	1	2	2121
2011-03-24	0	4	1	2	1865
2011-03-25	0	5	1	1	2210
2011-03-26	0	6	0	1	2496
2011-03-27	0	0	0	2	1693
2011-03-28	0	1	1	1	2028
2011-03-29	0	2	1	1	2425
2011-03-30	0	3	1	2	1536
2011-03-31	0	4	1	3	1685
2011-04-01	0	5	1	2	2227
2011-04-02	0	6	0	2	2252
2011-04-03	0	0	0	1	3249
2011-04-04	0	1	1	1	3115
2011-04-05	0	2	1	2	1795
2011-04-06	0	3	1	1	2808
2011-04-07	0	4	1	1	3141
2011-04-08	0	5	1	2	1471
2011-04-09	0	6	0	2	2455
2011-04-10	0	0	0	2	2895
2011-04-11	0	1	1	2	7500
2011-04-12	0	2	1	2	2034
2011-04-13	0	3	1	2	2162
2011-04-14	0	4	1	1	3267
2011-04-15	1	5	0	1	3126
2011-04-16	0	6	0	3	795
2011-04-17	0	0	0	1	3744
2011-04-18	0	1	1	1	3429
2011-04-19	0	2	1	2	3204
2011-04-20	0	3	1	1	3944
2011-04-21	0	4	1	1	4189
2011-04-22	0	5	1	2	1683
2011-04-23	0	6	0	2	4036
2011-04-24	0	0	0	2	4191
2011-04-25	0	1	1	1	4073
2011-04-26	0	2	1	1	4400
2011-04-27	0	3	1	2	3872
2011-04-28	0	4	1	2	4058
2011-04-29	0	5	1	1	4595
2011-04-30	0	6	0	1	5312
2011-05-01	0	0	0	2	3351
2011-05-02	0	1	1	2	4401
2011-05-03	0	2	1	2	4451
2011-05-04	0	3	1	2	2633
2011-05-05	0	4	1	1	4433
2011-05-06	0	5	1	1	4608
2011-05-07	0	6	0	1	4714
2011-05-08	0	0	0	1	4333
2011-05-09	0	1	1	1	4362
2011-05-10	0	2	1	1	4803
2011-05-11	0	3	1	1	4182
2011-05-12	0	4	1	1	4864
2011-05-13	0	5	1	2	4105
2011-05-14	0	6	0	2	3409
2011-05-15	0	0	0	2	4553
2011-05-16	0	1	1	1	3958
2011-05-17	0	2	1	2	4123
2011-05-18	0	3	1	2	3855
2011-05-19	0	4	1	2	4575
2011-05-20	0	5	1	1	4917
2011-05-21	0	6	0	1	5805
