cinema_id,SNS1,SNS2,actor,original,sales
1375,291,1044,8808.994029,0,9731
1000,363,568,10290.70937,1,10210
1390,158,431,6340.388534,1,8227
1499,261,578,8250.485081,0,9658
1164,209,683,10908.53955,0,9286
1009,,866,9427.21452,0,9574
1417,153,362,7237.639848,1,7869
1688,473,856,,1,9804
1503,117,114,8843.854509,1,9023
1851,293,463,8244.455961,1,9229
1414,704,1355,12286.33699,1,11292
1049,582,1196,12665.07378,1,11000
1934,239,312,5702.796056,0,8362
1737,609,657,8411.145486,1,10024
1928,613,610,12254.96292,1,11405
1447,608,862,12084.17264,0,11079
1858,558,602,8630.428743,1,10447
1544,793,891,10806.69776,0,10962
1953,242,735,10992.78569,1,10646
1006,287,1018,12244.30083,0,10362
1424,475,760,10731.04143,1,9966
1618,93,262,10280.16432,1,9458
1866,90,219,9204.960076,0,9118
1016,693,603,11514.06367,1,10706
1309,149,655,8496.045526,0,8911
1035,783,814,9853.558838,1,10438
1906,101,189,9478.255746,0,9002
1220,188,243,9466.983315,1,9466
1450,0,0,8626.162638,0,9229
1006,425,162,9089.334743,0,8956
1855,149,1200,8173.096892,0,8000
1575,104,287,8281.550018,0,8710
1800,205,534,6313.359542,0,8532
1185,167,1015,8585.090831,1,9705
1821,409,827,11546.19543,0,10099
1594,126,948,10187.27574,1,10178
1168,605,425,10382.36655,1,10703
1571,606,410,10600.78695,1,10615
1850,777,404,10293.9313,1,10906
1099,299,502,10826.15267,1,9821
1042,350,535,7384.176378,0,9228
1354,690,709,10987.72468,1,10131
1647,384,1000,11888.47335,0,10903
1878,214,731,9288.90891,1,10416
1550,304,292,9991.717888,0,9824
1627,321,810,8203.14853,0,9765
1250,510,501,10516.36438,0,9839
1423,436,527,10787.03461,1,10214
1037,537,594,10722.96928,0,9861
1476,548,642,10747.58004,0,10383
1827,800,934,8206.568734,0,9000
1464,517,305,9654.66209,0,10164
1989,181,774,9509.334159,0,9798
1262,1000,727,10773.49204,1,11231
1306,424,332,8984.856847,1,10002
1867,311,223,9713.272949,0,9668
1209,50,177,9029.442218,0,9039
1643,54,444,8829.224944,0,8835
1670,74,812,9108.196162,1,9589
1214,464,1464,11763.9804,1,11208
1867,335,1042,9626.813193,0,9679
1330,195,512,10004.93137,0,9431
1096,353,911,9683.270128,1,10397
1201,406,492,10229.86603,0,9685
1586,184,499,8705.218644,0,8786
1278,180,441,7419.354947,0,8772
1511,299,840,8926.442964,0,10059
1316,319,749,8679.518393,0,9405
1503,395,490,10869.61214,1,10056
1950,709,1189,11634.78875,0,10726
1279,726,659,9844.960566,1,10605
1582,605,648,11962.10904,1,10581
1351,285,556,11833.49886,1,10513
1148,147,41,6969.529312,0,8310
1022,623,807,10206.42988,0,9501
1746,368,455,9837.297652,1,10428
1475,610,461,11227.73178,1,10745
1466,204,1032,9444.698793,0,9451
1848,385,1136,10908.78255,0,10815
1656,194,618,10484.38146,1,9968
1190,208,943,9314.053857,0,9964
1813,152,21,8371.490477,1,8575
1285,662,1500,10463.81209,1,11075
1917,333,653,10742.08854,1,11071
1777,369,661,10638.19623,0,8935
1581,426,735,10899.27403,1,9996
1364,45,777,8499.011592,1,9093
1051,469,815,12365.67397,1,11157
1192,139,945,10371.6424,0,10114
1170,404,40,7605.263708,0,9143
1110,170,952,10133.91461,1,9957
1460,223,1049,10105.5508,1,10213
1981,218,387,10518.45477,0,9324
1344,606,551,7997.044307,0,9938
1042,496,884,9453.919696,0,10625
1260,494,1050,11137.48281,1,10537
1283,505,928,11376.03854,1,10084
1861,368,966,10393.25248,0,10069
1006,326,1068,9454.019853,1,10218
1764,402,153,11144.48297,1,10435
