class,dept_id,sex,score
3,0,1,60.17016866106815
3,5,1,86.61007849063455
2,6,1,69.76127874376148
2,5,1,62.5972415904401
0,1,0,73.77775413798867
3,4,0,54.00302026621333
2,3,1,76.09322647756144
0,5,1,53.68042000537534
2,6,0,82.70007195991357
0,5,0,63.58141146294979
4,5,0,70.93778030276665
4,5,0,64.11593017548759
2,2,0,89.42011453204691
2,4,0,82.53939037991523
4,6,1,55.303169897144
4,3,1,66.37548250936264
4,1,1,62.7878426183342
2,5,1,77.52659721907301
3,4,0,64.2373420482872
1,0,0,59.30081859979383
2,1,0,67.65897700749323
3,3,0,71.06308223597014
4,4,1,69.03778009783088
1,4,1,67.73989785710589
1,6,0,67.48429227043825
2,4,1,82.40263419656534
4,1,1,59.469727182758334
3,1,1,77.10000297445859
0,1,1,56.77885817920444
0,1,0,57.47564842877029
3,5,1,61.25034322000168
0,2,1,56.952397553410954
0,3,0,60.22891031993028
0,6,1,52.0187505008963
4,1,1,85.41996368634729
0,1,1,67.4109137372588
2,2,1,68.39719805680082
0,3,1,61.712814964972814
2,4,0,57.425095912947725
2,5,1,68.33526880243066
0,3,1,65.46877033023517
2,5,1,64.24387696537676
1,5,0,68.78059910399588
2,2,1,86.12361967163109
3,2,0,75.92589015590153
3,1,0,74.02744232019427
4,1,1,69.39811714540879
1,0,1,53.2324988353534
4,3,0,54.72588883668196
4,1,1,74.41099287349563
3,5,0,53.371910767882724
4,4,1,63.58098298858824
1,1,0,63.56860199881325
0,3,0,63.24938466587845
4,1,1,66.81710435682511
0,5,1,66.86658823093934
3,0,1,64.85827844475091
2,4,1,78.14791819478462
0,0,1,65.39365396367623
0,0,0,57.18096500355093
2,5,1,68.10058480001993
1,0,1,77.99589720093606
3,4,1,70.66907154446976
3,5,0,66.6027998658772
4,1,0,80.98605318545411
0,2,0,84.58480212895299
2,6,1,78.59422840073783
0,2,0,87.44717331598702
0,0,1,63.432159707523226
4,1,1,89.11286996954422
1,1,1,74.87379089442075
